trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   1.59139,   0.00000,   5.21588,  10.85441,  -0.25465,  17.98894,  10.72477,   4.46935,  17.87991,  10.51227,   5.90211,   0.00000,   0.00000,   0.00000,   1.00000,   1.59139,   0.00000,   3.92334, -10.66771,  -0.06256,  18.59887,   9.11087,   5.16050,  18.83734,   9.31137,   4.99701,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00089, 241.00000,   4.67924,  10.15934,  -0.35804,  18.52559,  10.02970,   4.36596,  18.41655,   9.81720,   6.00549,   0.00000,   0.00000,   0.00000,   1.00000,   0.00089, 241.00000,   3.78129, -10.87679,   0.04539,  18.74092,   9.31994,   5.26845,  18.97940,   9.52045,   4.88906,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00423, 242.00000,   4.67944,  10.15945,  -0.35828,  18.52539,  10.02981,   4.36571,  18.41635,   9.81732,   6.00574,   0.00000,   0.00000,   0.00000,   1.00000,   0.00423, 242.00000,   3.78113, -10.87615,   0.04600,  18.74109,   9.31931,   5.26905,  18.97956,   9.51981,   4.88846,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00836, 243.00000,   4.67941,  10.15974,  -0.35843,  18.52542,  10.03010,   4.36557,  18.41638,   9.81760,   6.00588,   0.00000,   0.00000,   0.00000,   1.00000,   0.00836, 243.00000,   3.78097, -10.87548,   0.04644,  18.74125,   9.31863,   5.26949,  18.97972,   9.51914,   4.88802,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01259, 244.00000,   4.67954,  10.15996,  -0.35874,  18.52528,  10.03033,   4.36526,  18.41625,   9.81783,   6.00620,   0.00000,   0.00000,   0.00000,   1.00000,   0.01259, 244.00000,   3.78081, -10.87476,   0.04669,  18.74140,   9.31792,   5.26975,  18.97988,   9.51842,   4.88776,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01672, 245.00000,   4.67954,  10.16029,  -0.35899,  18.52529,  10.03065,   4.36501,  18.41625,   9.81816,   6.00644,   0.00000,   0.00000,   0.00000,   1.00000,   0.01672, 245.00000,   3.78067, -10.87405,   0.04693,  18.74154,   9.31721,   5.26999,  18.98002,   9.51771,   4.88752,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02086, 246.00000,   4.67946,  10.16063,  -0.35923,  18.52536,  10.03099,   4.36476,  18.41633,   9.81850,   6.00669,   0.00000,   0.00000,   0.00000,   1.00000,   0.02086, 246.00000,   3.78064, -10.87320,   0.04729,  18.74157,   9.31636,   5.27035,  18.98005,   9.51686,   4.88716,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02509, 247.00000,   4.67955,  10.16083,  -0.35970,  18.52528,  10.03120,   4.36429,  18.41624,   9.81870,   6.00716,   0.00000,   0.00000,   0.00000,   1.00000,   0.02509, 247.00000,   3.78083, -10.87231,   0.04766,  18.74138,   9.31546,   5.27072,  18.97986,   9.51597,   4.88679,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02922, 248.00000,   4.67964,  10.16108,  -0.35995,  18.52519,  10.03144,   4.36405,  18.41615,   9.81894,   6.00741,   0.00000,   0.00000,   0.00000,   1.00000,   0.02922, 248.00000,   3.78083, -10.87144,   0.04822,  18.74138,   9.31459,   5.27128,  18.97985,   9.51510,   4.88623,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03336, 249.00000,   4.67984,  10.16122,  -0.36022,  18.52499,  10.03158,   4.36377,  18.41595,   9.81909,   6.00768,   0.00000,   0.00000,   0.00000,   1.00000,   0.03336, 249.00000,   3.78106, -10.87055,   0.04847,  18.74115,   9.31371,   5.27152,  18.97963,   9.51421,   4.88598,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
