trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00008,   0.00000,   4.71475,  10.05688,  -0.78311,  18.55732,  10.19528,   4.37854,  18.35199,  10.09261,   5.97243,   0.00000,   0.00000,   0.00000,   1.00000,   0.00008,   0.00000,   3.63208, -10.86279,   0.09378,  19.82892,   9.42884,   4.81163,  19.37685,   9.55077,   5.10451,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00087, 244.00000,   4.66243,  10.08912,  -0.79065,  18.60963,  10.22753,   4.37100,  18.40431,  10.12485,   5.97997,   0.00000,   0.00000,   0.00000,   1.00000,   0.00087, 244.00000,   3.65023, -10.84371,   0.02799,  19.81078,   9.40976,   4.74585,  19.35870,   9.53169,   5.17029,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00452, 245.00000,   4.66253,  10.08891,  -0.79090,  18.60953,  10.22731,   4.37075,  18.40421,  10.12464,   5.98022,   0.00000,   0.00000,   0.00000,   1.00000,   0.00452, 245.00000,   3.64976, -10.84380,   0.02973,  19.81125,   9.40985,   4.74758,  19.35917,   9.53178,   5.16856,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00863, 246.00000,   4.66242,  10.08882,  -0.79103,  18.60965,  10.22723,   4.37062,  18.40432,  10.12455,   5.98035,   0.00000,   0.00000,   0.00000,   1.00000,   0.00863, 246.00000,   3.64926, -10.84398,   0.03097,  19.81175,   9.41004,   4.74882,  19.35967,   9.53196,   5.16731,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01292, 247.00000,   4.66249,  10.08867,  -0.79104,  18.60958,  10.22707,   4.37062,  18.40425,  10.12440,   5.98036,   0.00000,   0.00000,   0.00000,   1.00000,   0.01292, 247.00000,   3.64882, -10.84411,   0.03230,  19.81219,   9.41016,   4.75015,  19.36011,   9.53209,   5.16599,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01702, 248.00000,   4.66257,  10.08848,  -0.79098,  18.60949,  10.22688,   4.37067,  18.40417,  10.12421,   5.98030,   0.00000,   0.00000,   0.00000,   1.00000,   0.01702, 248.00000,   3.64862, -10.84413,   0.03316,  19.81239,   9.41018,   4.75101,  19.36031,   9.53211,   5.16513,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02114, 249.00000,   4.66261,  10.08832,  -0.79092,  18.60946,  10.22673,   4.37073,  18.40413,  10.12405,   5.98024,   0.00000,   0.00000,   0.00000,   1.00000,   0.02114, 249.00000,   3.64826, -10.84422,   0.03368,  19.81275,   9.41028,   4.75153,  19.36067,   9.53220,   5.16461,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02537, 250.00000,   4.66245,  10.08823,  -0.79091,  18.60962,  10.22663,   4.37075,  18.40429,  10.12396,   5.98023,   0.00000,   0.00000,   0.00000,   1.00000,   0.02537, 250.00000,   3.64799, -10.84423,   0.03452,  19.81302,   9.41029,   4.75237,  19.36094,   9.53221,   5.16377,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02950, 251.00000,   4.66231,  10.08814,  -0.79096,  18.60975,  10.22654,   4.37070,  18.40443,  10.12387,   5.98028,   0.00000,   0.00000,   0.00000,   1.00000,   0.02950, 251.00000,   3.64776, -10.84429,   0.03507,  19.81325,   9.41034,   4.75292,  19.36117,   9.53227,   5.16322,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03361, 252.00000,   4.66228,  10.08802,  -0.79086,  18.60978,  10.22643,   4.37080,  18.40446,  10.12375,   5.98018,   0.00000,   0.00000,   0.00000,   1.00000,   0.03361, 252.00000,   3.64752, -10.84434,   0.03545,  19.81348,   9.41039,   4.75330,  19.36141,   9.53232,   5.16284,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03787, 253.00000,   4.66222,  10.08791,  -0.79073,  18.60984,  10.22632,   4.37093,  18.40452,  10.12364,   5.98005,   0.00000,   0.00000,   0.00000,   1.00000,   0.03787, 253.00000,   3.64728, -10.84441,   0.03583,  19.81372,   9.41046,   4.75369,  19.36165,   9.53239,   5.16245,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.04200, 254.00000,   4.66226,  10.08775,  -0.79058,  18.60980,  10.22615,   4.37107,  18.40448,  10.12348,   5.97990,   0.00000,   0.00000,   0.00000,   1.00000,   0.04200, 254.00000,   3.64706, -10.84454,   0.03637,  19.81394,   9.41059,   4.75422,  19.36187,   9.53252,   5.16191,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.04612, 255.00000,   4.66241,  10.08756,  -0.79054,  18.60966,  10.22596,   4.37112,  18.40433,  10.12329,   5.97986,   0.00000,   0.00000,   0.00000,   1.00000,   0.04612, 255.00000,   3.64706, -10.84465,   0.03680,  19.81395,   9.41071,   4.75465,  19.36188,   9.53263,   5.16149,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.05036, 256.00000,   4.66236,  10.08751,  -0.79032,  18.60970,  10.22591,   4.37133,  18.40438,  10.12324,   5.97964,   0.00000,   0.00000,   0.00000,   1.00000,   0.05036, 256.00000,   3.64702, -10.84488,   0.03728,  19.81399,   9.41094,   4.75514,  19.36191,   9.53286,   5.16100,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.05452, 257.00000,   4.66231,  10.08746,  -0.79034,  18.60976,  10.22586,   4.37131,  18.40443,  10.12319,   5.97966,   0.00000,   0.00000,   0.00000,   1.00000,   0.05452, 257.00000,   3.64696, -10.84517,   0.03812,  19.81405,   9.41122,   4.75597,  19.36198,   9.53314,   5.16017,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.05859, 258.00000,   4.66221,  10.08744,  -0.79027,  18.60986,  10.22585,   4.37138,  18.40453,  10.12317,   5.97959,   0.00000,   0.00000,   0.00000,   1.00000,   0.05859, 258.00000,   3.64706, -10.84543,   0.03861,  19.81395,   9.41148,   4.75647,  19.36187,   9.53341,   5.15967,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.06290, 259.00000,   4.66215,  10.08743,  -0.79017,  18.60991,  10.22584,   4.37148,  18.40459,  10.12316,   5.97949,   0.00000,   0.00000,   0.00000,   1.00000,   0.06290, 259.00000,   3.64709, -10.84584,   0.03914,  19.81392,   9.41190,   4.75699,  19.36184,   9.53382,   5.15915,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.06701, 260.00000,   4.66201,  10.08747,  -0.79005,  18.61005,  10.22587,   4.37161,  18.40473,  10.12320,   5.97937,   0.00000,   0.00000,   0.00000,   1.00000,   0.06701, 260.00000,   3.64732, -10.84623,   0.03973,  19.81369,   9.41228,   4.75758,  19.36162,   9.53421,   5.15856,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.07114, 261.00000,   4.66193,  10.08750,  -0.78994,  18.61014,  10.22591,   4.37172,  18.40481,  10.12323,   5.97926,   0.00000,   0.00000,   0.00000,   1.00000,   0.07114, 261.00000,   3.64718, -10.84668,   0.04015,  19.81383,   9.41274,   4.75800,  19.36176,   9.53466,   5.15814,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.07536, 262.00000,   4.66175,  10.08756,  -0.78995,  18.61031,  10.22597,   4.37170,  18.40499,  10.12329,   5.97927,   0.00000,   0.00000,   0.00000,   1.00000,   0.07536, 262.00000,   3.64702, -10.84716,   0.04037,  19.81399,   9.41322,   4.75822,  19.36192,   9.53514,   5.15792,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.07954, 263.00000,   4.66158,  10.08762,  -0.78999,  18.61049,  10.22603,   4.37166,  18.40516,  10.12335,   5.97931,   0.00000,   0.00000,   0.00000,   1.00000,   0.07954, 263.00000,   3.64707, -10.84748,   0.04094,  19.81394,   9.41353,   4.75879,  19.36186,   9.53546,   5.15735,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.08362, 264.00000,   4.66144,  10.08769,  -0.78997,  18.61062,  10.22610,   4.37168,  18.40530,  10.12342,   5.97929,   0.00000,   0.00000,   0.00000,   1.00000,   0.08362, 264.00000,   3.64698, -10.84782,   0.04153,  19.81403,   9.41387,   4.75938,  19.36196,   9.53580,   5.15676,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
