trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   0.00009,   0.00000,   4.46577,  11.30620,   0.45195,  17.84553,  11.03152,   6.70296,  17.94005,  11.07533,   5.13985,   0.00000,   0.00000,   0.00000,   1.00000,   0.00009,   0.00000,   4.25097, -12.09122,   0.36888,  18.20362,  10.18670,   6.11926,  18.53742,  10.16658,   5.43135,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.00645,   2.00000,   4.46585,  11.30618,   0.45207,  17.84545,  11.03150,   6.70308,  17.93997,  11.07531,   5.13972,   0.00000,   0.00000,   0.00000,   1.00000,   0.00645,   2.00000,   4.25096, -12.09114,   0.37015,  18.20363,  10.18661,   6.12053,  18.53743,  10.16649,   5.43008,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01009,   3.00000,   4.46595,  11.30610,   0.45218,  17.84535,  11.03141,   6.70319,  17.93987,  11.07522,   5.13961,   0.00000,   0.00000,   0.00000,   1.00000,   0.01009,   3.00000,   4.25086, -12.09116,   0.37090,  18.20373,  10.18664,   6.12128,  18.53753,  10.16652,   5.42933,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01419,   4.00000,   4.46586,  11.30607,   0.45251,  17.84544,  11.03139,   6.70353,  17.93996,  11.07519,   5.13928,   0.00000,   0.00000,   0.00000,   1.00000,   0.01419,   4.00000,   4.25098, -12.09114,   0.37141,  18.20360,  10.18661,   6.12179,  18.53740,  10.16649,   5.42882,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01849,   5.00000,   4.46587,  11.30603,   0.45259,  17.84543,  11.03134,   6.70360,  17.93995,  11.07515,   5.13921,   0.00000,   0.00000,   0.00000,   1.00000,   0.01849,   5.00000,   4.25084, -12.09121,   0.37228,  18.20375,  10.18669,   6.12266,  18.53755,  10.16657,   5.42795,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02259,   6.00000,   4.46591,  11.30594,   0.45283,  17.84539,  11.03126,   6.70385,  17.93991,  11.07507,   5.13896,   0.00000,   0.00000,   0.00000,   1.00000,   0.02259,   6.00000,   4.25109, -12.09122,   0.37311,  18.20350,  10.18669,   6.12348,  18.53730,  10.16657,   5.42712,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02673,   7.00000,   4.46592,  11.30588,   0.45312,  17.84538,  11.03119,   6.70414,  17.93990,  11.07500,   5.13867,   0.00000,   0.00000,   0.00000,   1.00000,   0.02673,   7.00000,   4.25089, -12.09139,   0.37373,  18.20369,  10.18687,   6.12411,  18.53750,  10.16675,   5.42650,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03095,   8.00000,   4.46583,  11.30586,   0.45347,  17.84547,  11.03118,   6.70449,  17.93999,  11.07499,   5.13832,   0.00000,   0.00000,   0.00000,   1.00000,   0.03095,   8.00000,   4.25113, -12.09137,   0.37487,  18.20346,  10.18684,   6.12525,  18.53726,  10.16672,   5.42536,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03506,   9.00000,   4.46578,  11.30583,   0.45385,  17.84553,  11.03114,   6.70486,  17.94004,  11.07495,   5.13794,   0.00000,   0.00000,   0.00000,   1.00000,   0.03506,   9.00000,   4.25103, -12.09161,   0.37532,  18.20356,  10.18709,   6.12570,  18.53736,  10.16696,   5.42491,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03918,  10.00000,   4.46561,  11.30596,   0.45404,  17.84569,  11.03127,   6.70506,  17.94021,  11.07508,   5.13775,   0.00000,   0.00000,   0.00000,   1.00000,   0.03918,  10.00000,   4.25112, -12.09166,   0.37603,  18.20347,  10.18714,   6.12641,  18.53727,  10.16702,   5.42420,   0.00000,   0.00000,   0.00000, 
