trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   0.00009,   0.00000,   4.51544,  10.95045,   0.25781,  18.17404,  10.37255,   6.23760,  18.71666,  10.26996,   5.56203,   0.00000,   0.00000,   0.00000,   1.00000,   0.00009,   0.00000,   3.90856, -10.76716,   0.33041,  18.36098,   8.96445,   6.05600,  18.65255,   9.31741,   5.46526,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.00541,   1.00000,   4.51549,  10.95047,   0.25777,  18.17400,  10.37256,   6.23755,  18.71662,  10.26998,   5.56207,   0.00000,   0.00000,   0.00000,   1.00000,   0.00541,   1.00000,   3.90858, -10.76724,   0.33033,  18.36097,   8.96452,   6.05592,  18.65253,   9.31748,   5.46534,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.00616,   2.00000,   4.51548,  10.95050,   0.25805,  18.17400,  10.37259,   6.23784,  18.71662,  10.27001,   5.56179,   0.00000,   0.00000,   0.00000,   1.00000,   0.00616,   2.00000,   3.90861, -10.76731,   0.33026,  18.36094,   8.96459,   6.05585,  18.65250,   9.31756,   5.46541,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01026,   3.00000,   4.51545,  10.95060,   0.25828,  18.17404,  10.37269,   6.23807,  18.71666,  10.27011,   5.56156,   0.00000,   0.00000,   0.00000,   1.00000,   0.01026,   3.00000,   3.90861, -10.76747,   0.33020,  18.36093,   8.96476,   6.05578,  18.65250,   9.31772,   5.46548,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01443,   4.00000,   4.51549,  10.95063,   0.25822,  18.17399,  10.37273,   6.23800,  18.71661,  10.27014,   5.56162,   0.00000,   0.00000,   0.00000,   1.00000,   0.01443,   4.00000,   3.90853, -10.76774,   0.33009,  18.36102,   8.96502,   6.05568,  18.65258,   9.31799,   5.46558,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01863,   5.00000,   4.51550,  10.95073,   0.25824,  18.17399,  10.37282,   6.23803,  18.71661,  10.27024,   5.56160,   0.00000,   0.00000,   0.00000,   1.00000,   0.01863,   5.00000,   3.90843, -10.76805,   0.33002,  18.36111,   8.96533,   6.05560,  18.65268,   9.31829,   5.46566,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02278,   6.00000,   4.51552,  10.95075,   0.25838,  18.17397,  10.37284,   6.23816,  18.71659,  10.27026,   5.56146,   0.00000,   0.00000,   0.00000,   1.00000,   0.02278,   6.00000,   3.90855, -10.76830,   0.32982,  18.36099,   8.96558,   6.05540,  18.65256,   9.31855,   5.46586,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02703,   7.00000,   4.51549,  10.95085,   0.25843,  18.17399,  10.37294,   6.23822,  18.71661,  10.27036,   5.56141,   0.00000,   0.00000,   0.00000,   1.00000,   0.02703,   7.00000,   3.90838, -10.76858,   0.32981,  18.36117,   8.96587,   6.05539,  18.65273,   9.31883,   5.46587,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03116,   8.00000,   4.51558,  10.95086,   0.25842,  18.17391,  10.37296,   6.23821,  18.71653,  10.27038,   5.56142,   0.00000,   0.00000,   0.00000,   1.00000,   0.03116,   8.00000,   3.90837, -10.76883,   0.32986,  18.36118,   8.96612,   6.05545,  18.65275,   9.31908,   5.46581,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03536,   9.00000,   4.51563,  10.95091,   0.25839,  18.17385,  10.37300,   6.23818,  18.71647,  10.27042,   5.56145,   0.00000,   0.00000,   0.00000,   1.00000,   0.03536,   9.00000,   3.90823, -10.76910,   0.32994,  18.36132,   8.96639,   6.05552,  18.65289,   9.31935,   5.46574,   0.00000,   0.00000,   0.00000, 
