trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   0.06792,  17.00000,   5.13862,  10.88996,   0.61504,  18.74083,  10.35194,   5.13921,  18.78325,  10.29712,   7.29273,   0.00000,   0.00000,   0.00000,   1.00000,   0.06792,  17.00000,   4.09103, -10.75743,   0.62605,  18.90298,   9.37314,   4.85190,  19.36194,   9.53803,   7.12674,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.07202,  18.00000,   5.13866,  10.88986,   0.61510,  18.74080,  10.35184,   5.13928,  18.78321,  10.29703,   7.29266,   0.00000,   0.00000,   0.00000,   1.00000,   0.07202,  18.00000,   4.09087, -10.75771,   0.62593,  18.90315,   9.37343,   4.85178,  19.36210,   9.53832,   7.12686,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.07629,  19.00000,   5.13861,  10.88984,   0.61497,  18.74085,  10.35182,   5.13915,  18.78326,  10.29700,   7.29279,   0.00000,   0.00000,   0.00000,   1.00000,   0.07629,  19.00000,   4.09100, -10.75788,   0.62563,  18.90301,   9.37359,   4.85148,  19.36196,   9.53848,   7.12716,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.08043,  20.00000,   5.13859,  10.88977,   0.61482,  18.74086,  10.35175,   5.13900,  18.78328,  10.29693,   7.29294,   0.00000,   0.00000,   0.00000,   1.00000,   0.08043,  20.00000,   4.09103, -10.75798,   0.62526,  18.90298,   9.37370,   4.85111,  19.36194,   9.53859,   7.12753,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.08454,  21.00000,   5.13863,  10.88966,   0.61481,  18.74083,  10.35163,   5.13898,  18.78324,  10.29682,   7.29295,   0.00000,   0.00000,   0.00000,   1.00000,   0.08454,  21.00000,   4.09114, -10.75815,   0.62482,  18.90287,   9.37387,   4.85067,  19.36183,   9.53875,   7.12797,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.08879,  22.00000,   5.13851,  10.88965,   0.61473,  18.74095,  10.35163,   5.13890,  18.78336,  10.29682,   7.29303,   0.00000,   0.00000,   0.00000,   1.00000,   0.08879,  22.00000,   4.09113, -10.75823,   0.62477,  18.90288,   9.37394,   4.85062,  19.36183,   9.53883,   7.12802,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.09293,  23.00000,   5.13848,  10.88961,   0.61455,  18.74098,  10.35159,   5.13873,  18.78339,  10.29678,   7.29321,   0.00000,   0.00000,   0.00000,   1.00000,   0.09293,  23.00000,   4.09145, -10.75820,   0.62441,  18.90257,   9.37392,   4.85026,  19.36152,   9.53881,   7.12838,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.09703,  24.00000,   5.13834,  10.88956,   0.61458,  18.74112,  10.35154,   5.13876,  18.78353,  10.29673,   7.29318,   0.00000,   0.00000,   0.00000,   1.00000,   0.09703,  24.00000,   4.09131, -10.75835,   0.62414,  18.90271,   9.37407,   4.84999,  19.36166,   9.53895,   7.12865,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.10128,  25.00000,   5.13826,  10.88951,   0.61440,  18.74120,  10.35149,   5.13858,  18.78361,  10.29667,   7.29336,   0.00000,   0.00000,   0.00000,   1.00000,   0.10128,  25.00000,   4.09130, -10.75841,   0.62375,  18.90271,   9.37412,   4.84960,  19.36166,   9.53901,   7.12904,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.10540,  26.00000,   5.13811,  10.88951,   0.61428,  18.74134,  10.35149,   5.13845,  18.78376,  10.29667,   7.29348,   0.00000,   0.00000,   0.00000,   1.00000,   0.10540,  26.00000,   4.09123, -10.75848,   0.62330,  18.90278,   9.37419,   4.84915,  19.36173,   9.53908,   7.12949,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.10952,  27.00000,   5.13818,  10.88936,   0.61429,  18.74127,  10.35134,   5.13847,  18.78368,  10.29653,   7.29347,   0.00000,   0.00000,   0.00000,   1.00000,   0.10952,  27.00000,   4.09132, -10.75856,   0.62328,  18.90270,   9.37427,   4.84913,  19.36165,   9.53916,   7.12951,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.11379,  28.00000,   5.13840,  10.88922,   0.61425,  18.74106,  10.35120,   5.13842,  18.78347,  10.29639,   7.29351,   0.00000,   0.00000,   0.00000,   1.00000,   0.11379,  28.00000,   4.09132, -10.75868,   0.62297,  18.90270,   9.37440,   4.84882,  19.36165,   9.53928,   7.12982,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.11790,  29.00000,   5.13837,  10.88914,   0.61427,  18.74109,  10.35112,   5.13845,  18.78350,  10.29631,   7.29349,   0.00000,   0.00000,   0.00000,   1.00000,   0.11790,  29.00000,   4.09136, -10.75882,   0.62269,  18.90265,   9.37453,   4.84853,  19.36160,   9.53942,   7.13011,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.12203,  30.00000,   5.13843,  10.88912,   0.61425,  18.74103,  10.35110,   5.13842,  18.78344,  10.29628,   7.29352,   0.00000,   0.00000,   0.00000,   1.00000,   0.12203,  30.00000,   4.09164, -10.75889,   0.62247,  18.90238,   9.37460,   4.84832,  19.36133,   9.53949,   7.13032,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.12630,  31.00000,   5.13855,  10.88903,   0.61425,  18.74091,  10.35101,   5.13843,  18.78332,  10.29619,   7.29351,   0.00000,   0.00000,   0.00000,   1.00000,   0.12630,  31.00000,   4.09176, -10.75902,   0.62249,  18.90226,   9.37474,   4.84834,  19.36121,   9.53962,   7.13030,   0.00000,   0.00000,   0.00000, 
