trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   6.00000,   2.25498,   0.01779, 1375.00000,  -0.25652,   3.93054, -10.83343,  22.41369,  22.26957,   0.00000,   0.00000,   0.00578,  -0.00017,  -0.02182, 508.40709, 717.99275,  10.02182, 516.66556, 491.91347,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.04378, 1385.00000,  -0.25682,   3.93078, -10.83458,  22.41390,  22.26993,   0.00000,   0.00000,   0.00865,  -0.00042,  -0.03490, 508.31509, 717.99917,  10.03490, 516.70962, 491.89184,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.06113, 1389.00000,  -0.25661,   3.93064, -10.83501,  22.41425,  22.27019,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.08809, 1395.00000,  -0.25631,   3.93070, -10.83506,  22.41428,  22.27007,   0.00000,   0.00000,   0.00934,  -0.00085,  -0.04655, 508.29304, 718.01010,  10.04655, 516.72873, 491.89562,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.08912, 1396.00000,  -0.25628,   3.93068, -10.83501,  22.41428,  22.27007,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09339, 1397.00000,  -0.25620,   3.93067, -10.83495,  22.41429,  22.27003,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09747, 1398.00000,  -0.25616,   3.93064, -10.83490,  22.41429,  22.27002,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10164, 1399.00000,  -0.25606,   3.93070, -10.83478,  22.41421,  22.26989,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10592, 1400.00000,  -0.25571,   3.93062, -10.83468,  22.41431,  22.26981,   0.00000,   0.00000,   0.00864,  -0.00137,  -0.05616, 508.31558, 718.02346,  10.05616, 516.73151, 491.91515,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11005, 1401.00000,  -0.25561,   3.93070, -10.83454,  22.41420,  22.26966,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11413, 1402.00000,  -0.25528,   3.93070, -10.83440,  22.41420,  22.26951,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11840, 1403.00000,  -0.25529,   3.93070, -10.83426,  22.41415,  22.26945,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12249, 1404.00000,  -0.25523,   3.93078, -10.83409,  22.41401,  22.26929,   0.00000,   0.00000,   0.00599,  -0.00212,  -0.06127, 508.40060, 718.04247,  10.06127, 516.71349, 491.95892,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12666, 1405.00000,  -0.25520,   3.93052, -10.83402,  22.41422,  22.26948,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13084, 1406.00000,  -0.25505,   3.93047, -10.83388,  22.41423,  22.26942,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13505, 1407.00000,  -0.25511,   3.93040, -10.83374,  22.41422,  22.26943,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13913, 1408.00000,  -0.25494,   3.93030, -10.83361,  22.41429,  22.26942,   0.00000,   0.00000,   0.00354,  -0.00249,  -0.06335, 508.47899, 718.05200,  10.06335, 516.68960, 491.99166,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.14341, 1409.00000,  -0.25498,   3.93031, -10.83349,  22.41423,  22.26937,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.14753, 1410.00000,  -0.25507,   3.93027, -10.83339,  22.41420,  22.26939,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.15161, 1411.00000,  -0.25509,   3.93033, -10.83326,  22.41408,  22.26928,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.15591, 1412.00000,  -0.25502,   3.93048, -10.83311,  22.41391,  22.26907,   0.00000,   0.00000,   0.00210,  -0.00288,  -0.06285, 508.52509, 718.06197,  10.06285, 516.67954, 492.01508,   0.00000,   0.00000, 
