trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   0.00013,   0.00000,   4.49340,  11.59040,   0.42457,  17.81790,  11.31572,   6.67558,  17.91242,  11.35953,   5.16722,   0.00000,   0.00000,   0.00000,   1.00000,   0.00013,   0.00000,   4.30665, -12.17667,   0.11811,  18.14793,  10.27215,   5.86849,  18.48174,  10.25202,   5.68212,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01798,   5.00000,   4.49349,  11.58944,   0.42485,  17.81781,  11.31476,   6.67586,  17.91233,  11.35856,   5.16695,   0.00000,   0.00000,   0.00000,   1.00000,   0.01798,   5.00000,   4.30662, -12.17686,   0.11851,  18.14796,  10.27234,   5.86888,  18.48177,  10.25222,   5.68173,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02565,   7.00000,   4.49351,  11.58916,   0.42470,  17.81780,  11.31448,   6.67571,  17.91231,  11.35829,   5.16709,   0.00000,   0.00000,   0.00000,   1.00000,   0.02565,   7.00000,   4.30672, -12.17695,   0.11856,  18.14787,  10.27243,   5.86894,  18.48167,  10.25230,   5.68167,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02735,   8.00000,   4.49350,  11.58903,   0.42464,  17.81780,  11.31434,   6.67565,  17.91232,  11.35815,   5.16715,   0.00000,   0.00000,   0.00000,   1.00000,   0.02735,   8.00000,   4.30658, -12.17705,   0.11860,  18.14801,  10.27253,   5.86897,  18.48181,  10.25241,   5.68164,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03162,   9.00000,   4.49371,  11.58888,   0.42473,  17.81759,  11.31419,   6.67574,  17.91211,  11.35800,   5.16706,   0.00000,   0.00000,   0.00000,   1.00000,   0.03162,   9.00000,   4.30651, -12.17715,   0.11884,  18.14807,  10.27262,   5.86922,  18.48187,  10.25250,   5.68139,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03574,  10.00000,   4.49363,  11.58882,   0.42459,  17.81767,  11.31413,   6.67560,  17.91219,  11.35794,   5.16721,   0.00000,   0.00000,   0.00000,   1.00000,   0.03574,  10.00000,   4.30644, -12.17723,   0.11883,  18.14815,  10.27270,   5.86921,  18.48195,  10.25258,   5.68140,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03989,  11.00000,   4.49334,  11.58886,   0.42458,  17.81796,  11.31417,   6.67559,  17.91248,  11.35798,   5.16721,   0.00000,   0.00000,   0.00000,   1.00000,   0.03989,  11.00000,   4.30646, -12.17729,   0.11883,  18.14812,  10.27277,   5.86921,  18.48193,  10.25265,   5.68140,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.04412,  12.00000,   4.49341,  11.58875,   0.42470,  17.81789,  11.31406,   6.67571,  17.91241,  11.35787,   5.16709,   0.00000,   0.00000,   0.00000,   1.00000,   0.04412,  12.00000,   4.30625, -12.17745,   0.11915,  18.14834,  10.27293,   5.86953,  18.48214,  10.25281,   5.68108,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.04823,  13.00000,   4.49346,  11.58870,   0.42480,  17.81784,  11.31401,   6.67581,  17.91236,  11.35782,   5.16699,   0.00000,   0.00000,   0.00000,   1.00000,   0.04823,  13.00000,   4.30646, -12.17734,   0.11927,  18.14813,  10.27282,   5.86965,  18.48193,  10.25269,   5.68096,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.05237,  14.00000,   4.49350,  11.58865,   0.42471,  17.81781,  11.31397,   6.67573,  17.91232,  11.35778,   5.16708,   0.00000,   0.00000,   0.00000,   1.00000,   0.05237,  14.00000,   4.30640, -12.17740,   0.11953,  18.14819,  10.27287,   5.86991,  18.48199,  10.25275,   5.68070,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.05662,  15.00000,   4.49347,  11.58860,   0.42472,  17.81783,  11.31392,   6.67574,  17.91235,  11.35773,   5.16707,   0.00000,   0.00000,   0.00000,   1.00000,   0.05662,  15.00000,   4.30639, -12.17740,   0.11946,  18.14820,  10.27287,   5.86984,  18.48200,  10.25275,   5.68077,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.06072,  16.00000,   4.49341,  11.58861,   0.42467,  17.81789,  11.31393,   6.67569,  17.91241,  11.35774,   5.16712,   0.00000,   0.00000,   0.00000,   1.00000,   0.06072,  16.00000,   4.30625, -12.17740,   0.11954,  18.14833,  10.27288,   5.86992,  18.48213,  10.25276,   5.68069,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.06497,  17.00000,   4.49349,  11.58855,   0.42477,  17.81781,  11.31387,   6.67579,  17.91233,  11.35768,   5.16702,   0.00000,   0.00000,   0.00000,   1.00000,   0.06497,  17.00000,   4.30616, -12.17742,   0.11957,  18.14842,  10.27290,   5.86995,  18.48222,  10.25278,   5.68066,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.06911,  18.00000,   4.49344,  11.58856,   0.42475,  17.81787,  11.31388,   6.67577,  17.91238,  11.35769,   5.16704,   0.00000,   0.00000,   0.00000,   1.00000,   0.06911,  18.00000,   4.30614, -12.17739,   0.11959,  18.14844,  10.27286,   5.86997,  18.48224,  10.25274,   5.68064,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.07322,  19.00000,   4.49354,  11.58853,   0.42475,  17.81776,  11.31385,   6.67577,  17.91228,  11.35766,   5.16704,   0.00000,   0.00000,   0.00000,   1.00000,   0.07322,  19.00000,   4.30622, -12.17728,   0.11966,  18.14837,  10.27276,   5.87004,  18.48217,  10.25264,   5.68057,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.07735,  20.00000,   4.49361,  11.58856,   0.42464,  17.81769,  11.31387,   6.67565,  17.91221,  11.35768,   5.16715,   0.00000,   0.00000,   0.00000,   1.00000,   0.07735,  20.00000,   4.30624, -12.17720,   0.11959,  18.14834,  10.27268,   5.86997,  18.48214,  10.25256,   5.68064,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.08162,  21.00000,   4.49361,  11.58860,   0.42470,  17.81769,  11.31392,   6.67571,  17.91221,  11.35773,   5.16709,   0.00000,   0.00000,   0.00000,   1.00000,   0.08162,  21.00000,   4.30614, -12.17718,   0.11955,  18.14845,  10.27266,   5.86993,  18.48225,  10.25254,   5.68068,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.08572,  22.00000,   4.49359,  11.58865,   0.42480,  17.81771,  11.31396,   6.67581,  17.91223,  11.35777,   5.16699,   0.00000,   0.00000,   0.00000,   1.00000,   0.08572,  22.00000,   4.30615, -12.17711,   0.11943,  18.14843,  10.27259,   5.86981,  18.48223,  10.25246,   5.68080,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.08985,  23.00000,   4.49350,  11.58874,   0.42478,  17.81780,  11.31405,   6.67580,  17.91232,  11.35786,   5.16701,   0.00000,   0.00000,   0.00000,   1.00000,   0.08985,  23.00000,   4.30604, -12.17705,   0.11922,  18.14854,  10.27253,   5.86960,  18.48235,  10.25240,   5.68101,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.09411,  24.00000,   4.49350,  11.58881,   0.42477,  17.81780,  11.31412,   6.67578,  17.91232,  11.35793,   5.16702,   0.00000,   0.00000,   0.00000,   1.00000,   0.09411,  24.00000,   4.30601, -12.17691,   0.11912,  18.14858,  10.27239,   5.86950,  18.48238,  10.25227,   5.68111,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.09821,  25.00000,   4.49336,  11.58897,   0.42481,  17.81794,  11.31428,   6.67583,  17.91246,  11.35809,   5.16698,   0.00000,   0.00000,   0.00000,   1.00000,   0.09821,  25.00000,   4.30588, -12.17677,   0.11858,  18.14871,  10.27225,   5.86896,  18.48251,  10.25213,   5.68165,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.10236,  26.00000,   4.49334,  11.58913,   0.42475,  17.81796,  11.31445,   6.67576,  17.91248,  11.35826,   5.16705,   0.00000,   0.00000,   0.00000,   1.00000,   0.10236,  26.00000,   4.30555, -12.17667,   0.11824,  18.14904,  10.27214,   5.86862,  18.48284,  10.25202,   5.68199,   0.00000,   0.00000,   0.00000, 
