vidName, trial , direction , samp , waittime , trialTime , frameShow , xB , yB , zB , XdistB_t1, YdistB_t1, ZdistB_t1, XdistB_t2 , YdistB_t2, ZdistB_t2, hitB_t1 , hitB_t2, yaw, pitch, roll, expTime, launchind_a, hitind_a, aHit, accuracy
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.45394 ,  1.00000 ,  0.52241 , 10.50687 ,-27.32556 ,-60.56192 , 24.51385 , 29.98530 ,-60.24800 , -2.79956 , 29.39789 ,  0.00000 ,  0.00000 , 93.70509 ,-19.73479 , 92.98772 , 54.76445 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.45805 ,  1.00000 ,  0.52308 , 10.50664 ,-27.32510 ,-60.56125 , 24.51362 , 29.98484 ,-60.24733 , -2.79979 , 29.39743 ,  0.00000 ,  0.00000 , 93.69568 ,-19.73186 , 92.97131 , 54.76857 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.46231 ,  1.00000 ,  0.52380 , 10.50756 ,-27.32438 ,-60.56053 , 24.51454 , 29.98412 ,-60.24661 , -2.79887 , 29.39671 ,  0.00000 ,  0.00000 , 93.68423 ,-19.72884 , 92.95491 , 54.77283 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.46643 ,  1.00000 ,  0.52567 , 10.50746 ,-27.32458 ,-60.55866 , 24.51444 , 29.98432 ,-60.24474 , -2.79896 , 29.39691 ,  0.00000 ,  0.00000 , 93.66242 ,-19.72327 , 92.93369 , 54.77695 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.47057 ,  1.00000 ,  0.52689 , 10.50799 ,-27.32478 ,-60.55744 , 24.51498 , 29.98453 ,-60.24352 , -2.79843 , 29.39712 ,  0.00000 ,  0.00000 , 93.64141 ,-19.72002 , 92.91396 , 54.78108 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.47481 ,  1.00000 ,  0.52877 , 10.50878 ,-27.32504 ,-60.55556 , 24.51576 , 29.98478 ,-60.24164 , -2.79765 , 29.39737 ,  0.00000 ,  0.00000 , 93.62735 ,-19.71673 , 92.89426 , 54.78533 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.47896 ,  1.00000 ,  0.53023 , 10.50881 ,-27.32584 ,-60.55411 , 24.51579 , 29.98559 ,-60.24018 , -2.79762 , 29.39818 ,  0.00000 ,  0.00000 , 93.61467 ,-19.71619 , 92.87150 , 54.78948 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.48307 ,  1.00000 ,  0.53186 , 10.50881 ,-27.32663 ,-60.55247 , 24.51580 , 29.98637 ,-60.23855 , -2.79761 , 29.39896 ,  0.00000 ,  0.00000 , 93.60525 ,-19.71465 , 92.84798 , 54.79359 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.48731 ,  1.00000 ,  0.53306 , 10.50984 ,-27.32688 ,-60.55127 , 24.51682 , 29.98662 ,-60.23734 , -2.79659 , 29.39921 ,  0.00000 ,  0.00000 , 93.59431 ,-19.71419 , 92.82839 , 54.79783 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.49143 ,  1.00000 ,  0.53341 , 10.50986 ,-27.32785 ,-60.55092 , 24.51684 , 29.98759 ,-60.23700 , -2.79656 , 29.40018 ,  0.00000 ,  0.00000 , 93.56865 ,-19.71075 , 92.81781 , 54.80195 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
