trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   0.00013,   0.00000,   4.46085,  10.29625,   0.22576,  18.24330,  10.25284,   6.54638,  19.00438,  10.23624,   5.50591,   0.00000,   0.00000,   0.00000,   1.00000,   0.00013,   0.00000,   4.10132, -11.02906,   0.24413,  18.91735,   9.58329,   6.32511,  19.08638,   9.72124,   5.62656,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01863,   8.00000,   4.46092,  10.29771,   0.22554,  18.24323,  10.25431,   6.54616,  19.00431,  10.23770,   5.50613,   0.00000,   0.00000,   0.00000,   1.00000,   0.01863,   8.00000,   4.10254, -11.03432,   0.24309,  18.91613,   9.58854,   6.32407,  19.08515,   9.72650,   5.62760,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02635,  10.00000,   4.46080,  10.29821,   0.22532,  18.24335,  10.25480,   6.54593,  19.00443,  10.23819,   5.50635,   0.00000,   0.00000,   0.00000,   1.00000,   0.02635,  10.00000,   4.10274, -11.03573,   0.24280,  18.91593,   9.58996,   6.32378,  19.08495,   9.72792,   5.62789,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02748,  11.00000,   4.46090,  10.29835,   0.22537,  18.24325,  10.25494,   6.54599,  19.00433,  10.23833,   5.50630,   0.00000,   0.00000,   0.00000,   1.00000,   0.02748,  11.00000,   4.10277, -11.03661,   0.24252,  18.91590,   9.59084,   6.32350,  19.08492,   9.72880,   5.62817,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03173,  12.00000,   4.46104,  10.29847,   0.22558,  18.24311,  10.25506,   6.54619,  19.00419,  10.23846,   5.50609,   0.00000,   0.00000,   0.00000,   1.00000,   0.03173,  12.00000,   4.10282, -11.03736,   0.24228,  18.91585,   9.59159,   6.32326,  19.08488,   9.72954,   5.62840,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03583,  13.00000,   4.46103,  10.29869,   0.22555,  18.24312,  10.25529,   6.54617,  19.00420,  10.23868,   5.50612,   0.00000,   0.00000,   0.00000,   1.00000,   0.03583,  13.00000,   4.10306, -11.03798,   0.24190,  18.91562,   9.59221,   6.32288,  19.08464,   9.73017,   5.62878,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03998,  14.00000,   4.46100,  10.29895,   0.22552,  18.24315,  10.25555,   6.54613,  19.00422,  10.23894,   5.50615,   0.00000,   0.00000,   0.00000,   1.00000,   0.03998,  14.00000,   4.10324, -11.03860,   0.24175,  18.91543,   9.59282,   6.32273,  19.08445,   9.73078,   5.62893,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.04407,  15.00000,   4.46097,  10.29920,   0.22525,  18.24318,  10.25580,   6.54587,  19.00425,  10.23919,   5.50642,   0.00000,   0.00000,   0.00000,   1.00000,   0.04407,  15.00000,   4.10334, -11.03927,   0.24156,  18.91533,   9.59350,   6.32254,  19.08436,   9.73145,   5.62912,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.04834,  16.00000,   4.46077,  10.29952,   0.22533,  18.24338,  10.25612,   6.54595,  19.00446,  10.23951,   5.50634,   0.00000,   0.00000,   0.00000,   1.00000,   0.04834,  16.00000,   4.10355, -11.03981,   0.24136,  18.91512,   9.59403,   6.32234,  19.08415,   9.73199,   5.62932,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.05246,  17.00000,   4.46093,  10.29964,   0.22546,  18.24322,  10.25624,   6.54607,  19.00429,  10.23963,   5.50621,   0.00000,   0.00000,   0.00000,   1.00000,   0.05246,  17.00000,   4.10331, -11.04064,   0.24131,  18.91536,   9.59487,   6.32229,  19.08439,   9.73283,   5.62937,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.05672,  18.00000,   4.46089,  10.29985,   0.22532,  18.24326,  10.25645,   6.54594,  19.00433,  10.23984,   5.50635,   0.00000,   0.00000,   0.00000,   1.00000,   0.05672,  18.00000,   4.10362, -11.04121,   0.24098,  18.91505,   9.59544,   6.32196,  19.08407,   9.73340,   5.62970,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.06084,  19.00000,   4.46105,  10.29995,   0.22518,  18.24310,  10.25655,   6.54579,  19.00417,  10.23994,   5.50649,   0.00000,   0.00000,   0.00000,   1.00000,   0.06084,  19.00000,   4.10394, -11.04174,   0.24068,  18.91473,   9.59596,   6.32166,  19.08376,   9.73392,   5.63001,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.06498,  20.00000,   4.46116,  10.30009,   0.22517,  18.24299,  10.25668,   6.54579,  19.00406,  10.24007,   5.50650,   0.00000,   0.00000,   0.00000,   1.00000,   0.06498,  20.00000,   4.10391, -11.04244,   0.24077,  18.91476,   9.59666,   6.32175,  19.08379,   9.73462,   5.62991,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.06908,  21.00000,   4.46113,  10.30026,   0.22528,  18.24302,  10.25685,   6.54590,  19.00409,  10.24025,   5.50638,   0.00000,   0.00000,   0.00000,   1.00000,   0.06908,  21.00000,   4.10421, -11.04311,   0.24054,  18.91446,   9.59733,   6.32152,  19.08349,   9.73529,   5.63014,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.07337,  22.00000,   4.46112,  10.30044,   0.22520,  18.24303,  10.25703,   6.54582,  19.00411,  10.24043,   5.50647,   0.00000,   0.00000,   0.00000,   1.00000,   0.07337,  22.00000,   4.10457, -11.04370,   0.24000,  18.91410,   9.59792,   6.32098,  19.08313,   9.73588,   5.63068,   0.00000,   0.00000,   0.00000, 
