vidName, trial , direction , samp , waittime , trialTime , frameShow , xB , yB , zB , XdistB_t1, YdistB_t1, ZdistB_t1, XdistB_t2 , YdistB_t2, ZdistB_t2, hitB_t1 , hitB_t2, yaw, pitch, roll, expTime, launchind_a, hitind_a, aHit, accuracy
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.30466 ,  1.00000 ,  1.33510 , 10.62273 ,-26.70611 ,-58.23622 , 24.43789 , 29.32614 ,-58.15187 , -2.76766 , 28.94977 ,  0.00000 ,  0.00000 ,100.29935 ,-29.80628 ,107.23722 , 30.97145 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.30494 ,  1.00000 ,  1.33482 , 10.62160 ,-26.70633 ,-58.23650 , 24.43676 , 29.32636 ,-58.15216 , -2.76879 , 28.94998 ,  0.00000 ,  0.00000 ,100.30353 ,-29.80676 ,107.23629 , 30.97172 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.30824 ,  1.00000 ,  1.33581 , 10.62208 ,-26.70625 ,-58.23551 , 24.43724 , 29.32628 ,-58.15117 , -2.76831 , 28.94990 ,  0.00000 ,  0.00000 ,100.31184 ,-29.80730 ,107.22194 , 30.97502 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.31237 ,  1.00000 ,  1.33696 , 10.62159 ,-26.70665 ,-58.23436 , 24.43675 , 29.32668 ,-58.15001 , -2.76880 , 28.95030 ,  0.00000 ,  0.00000 ,100.31171 ,-29.80768 ,107.20212 , 30.97915 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.31663 ,  1.00000 ,  1.33631 , 10.62210 ,-26.70698 ,-58.23501 , 24.43726 , 29.32701 ,-58.15066 , -2.76829 , 28.95064 ,  0.00000 ,  0.00000 ,100.31138 ,-29.81548 ,107.18628 , 30.98341 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.32075 ,  2.00000 ,  1.33817 , 10.62251 ,-26.70730 ,-58.23315 , 24.43767 , 29.32733 ,-58.14880 , -2.76788 , 28.95095 ,  0.00000 ,  0.00000 ,100.30809 ,-29.81248 ,107.17976 , 30.98753 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.32487 ,  2.00000 ,  1.33744 , 10.62277 ,-26.70781 ,-58.23388 , 24.43793 , 29.32784 ,-58.14953 , -2.76762 , 28.95147 ,  0.00000 ,  0.00000 ,100.30154 ,-29.81762 ,107.18079 , 30.99165 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.32907 ,  2.00000 ,  1.33926 , 10.62317 ,-26.70814 ,-58.23206 , 24.43833 , 29.32817 ,-58.14772 , -2.76722 , 28.95180 ,  0.00000 ,  0.00000 ,100.29576 ,-29.81423 ,107.18389 , 30.99585 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.33321 ,  2.00000 ,  1.33886 , 10.62344 ,-26.70853 ,-58.23245 , 24.43860 , 29.32856 ,-58.14811 , -2.76695 , 28.95218 ,  0.00000 ,  0.00000 ,100.29179 ,-29.81739 ,107.18360 , 30.99999 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.33736 ,  3.00000 ,  1.33954 , 10.62281 ,-26.70914 ,-58.23178 , 24.43797 , 29.32917 ,-58.14743 , -2.76758 , 28.95280 ,  0.00000 ,  0.00000 ,100.28529 ,-29.81645 ,107.18734 , 31.00415 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.34161 ,  3.00000 ,  1.34004 , 10.62386 ,-26.70887 ,-58.23128 , 24.43902 , 29.32890 ,-58.14694 , -2.76653 , 28.95252 ,  0.00000 ,  0.00000 ,100.28748 ,-29.81289 ,107.19495 , 31.00839 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.34569 ,  3.00000 ,  1.33982 , 10.62342 ,-26.70913 ,-58.23150 , 24.43858 , 29.32916 ,-58.14715 , -2.76697 , 28.95278 ,  0.00000 ,  0.00000 ,100.28413 ,-29.81264 ,107.20039 , 31.01247 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.34984 ,  3.00000 ,  1.34000 , 10.62326 ,-26.70969 ,-58.23132 , 24.43842 , 29.32972 ,-58.14697 , -2.76713 , 28.95334 ,  0.00000 ,  0.00000 ,100.28203 ,-29.81284 ,107.19563 , 31.01663 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.35407 ,  4.00000 ,  1.33975 , 10.62287 ,-26.71003 ,-58.23157 , 24.43803 , 29.33006 ,-58.14722 , -2.76752 , 28.95368 ,  0.00000 ,  0.00000 ,100.27832 ,-29.81720 ,107.18243 , 31.02085 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.35822 ,  4.00000 ,  1.33999 , 10.62261 ,-26.71061 ,-58.23133 , 24.43777 , 29.33064 ,-58.14699 , -2.76779 , 28.95426 ,  0.00000 ,  0.00000 ,100.27619 ,-29.81981 ,107.16817 , 31.02500 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.36235 ,  4.00000 ,  1.34030 , 10.62296 ,-26.71081 ,-58.23102 , 24.43812 , 29.33084 ,-58.14667 , -2.76743 , 28.95447 ,  0.00000 ,  0.00000 ,100.27282 ,-29.82119 ,107.16233 , 31.02914 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.36661 ,  5.00000 ,  1.34007 , 10.62313 ,-26.71119 ,-58.23125 , 24.43829 , 29.33122 ,-58.14690 , -2.76726 , 28.95485 ,  0.00000 ,  0.00000 ,100.26691 ,-29.82372 ,107.16211 , 31.03339 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.37073 ,  5.00000 ,  1.33918 , 10.62341 ,-26.71143 ,-58.23214 , 24.43857 , 29.33146 ,-58.14779 , -2.76698 , 28.95509 ,  0.00000 ,  0.00000 ,100.26010 ,-29.82582 ,107.16639 , 31.03751 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.37485 ,  5.00000 ,  1.33963 , 10.62294 ,-26.71176 ,-58.23169 , 24.43810 , 29.33179 ,-58.14734 , -2.76745 , 28.95541 ,  0.00000 ,  0.00000 ,100.25084 ,-29.82252 ,107.17277 , 31.04163 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.37907 ,  5.00000 ,  1.33838 , 10.62286 ,-26.71223 ,-58.23294 , 24.43802 , 29.33226 ,-58.14860 , -2.76753 , 28.95589 ,  0.00000 ,  0.00000 ,100.24586 ,-29.82628 ,107.17826 , 31.04585 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.38319 ,  6.00000 ,  1.33917 , 10.62390 ,-26.71180 ,-58.23215 , 24.43906 , 29.33183 ,-58.14780 , -2.76649 , 28.95546 ,  0.00000 ,  0.00000 ,100.24626 ,-29.81946 ,107.18716 , 31.04998 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.38735 ,  6.00000 ,  1.33699 , 10.62377 ,-26.71207 ,-58.23433 , 24.43893 , 29.33210 ,-58.14999 , -2.76662 , 28.95572 ,  0.00000 ,  0.00000 ,100.24340 ,-29.82159 ,107.19953 , 31.05413 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.39159 ,  6.00000 ,  1.33616 , 10.62374 ,-26.71199 ,-58.23516 , 24.43890 , 29.33202 ,-58.15082 , -2.76665 , 28.95565 ,  0.00000 ,  0.00000 ,100.24117 ,-29.81885 ,107.20995 , 31.05837 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.39572 ,  6.00000 ,  1.33648 , 10.62270 ,-26.71239 ,-58.23484 , 24.43786 , 29.33242 ,-58.15049 , -2.76769 , 28.95605 ,  0.00000 ,  0.00000 ,100.23362 ,-29.81513 ,107.21301 , 31.06250 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.39983 ,  7.00000 ,  1.33580 , 10.62353 ,-26.71239 ,-58.23552 , 24.43869 , 29.33242 ,-58.15118 , -2.76686 , 28.95604 ,  0.00000 ,  0.00000 ,100.23158 ,-29.81894 ,107.20082 , 31.06662 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.40405 ,  7.00000 ,  1.33646 , 10.62311 ,-26.71321 ,-58.23486 , 24.43827 , 29.33324 ,-58.15051 , -2.76728 , 28.95687 ,  0.00000 ,  0.00000 ,100.22146 ,-29.82278 ,107.17464 , 31.07084 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
right_trial12_StartToStartPt_3_4_block1.mat , 81.00000 ,  2.00000 , 32.00000 ,  1.62048 ,  5.40820 ,  7.00000 ,  1.33640 , 10.62340 ,-26.71361 ,-58.23492 , 24.43856 , 29.33364 ,-58.15057 , -2.76699 , 28.95727 ,  0.00000 ,  0.00000 ,100.21243 ,-29.82926 ,107.14749 , 31.07498 , 30.00000 , 43.00000 ,  0.00000 ,  1.00000 ,
