vidName, trial , direction , samp , waittime , trialTime , frameShow , xB , yB , zB , XdistB_t1, YdistB_t1, ZdistB_t1, XdistB_t2 , YdistB_t2, ZdistB_t2, hitB_t1 , hitB_t2, yaw, pitch, roll, expTime, launchind_a, hitind_a, aHit, accuracy
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.65561 ,  4.00000 ,  1.55931 , 10.63022 ,-27.32478 ,-59.52502 , 24.63721 , 29.98452 ,-59.21109 , -2.67620 , 29.39711 ,  0.00000 ,  0.00000 , 87.70082 ,-21.83798 ,110.74849 , 43.83867 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.65985 ,  4.00000 ,  1.55756 , 10.63097 ,-27.32401 ,-59.52678 , 24.63795 , 29.98375 ,-59.21285 , -2.67546 , 29.39635 ,  0.00000 ,  0.00000 , 87.69213 ,-21.81730 ,110.85381 , 43.84291 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.66397 ,  4.00000 ,  1.55370 , 10.63163 ,-27.32327 ,-59.53063 , 24.63861 , 29.98301 ,-59.21671 , -2.67480 , 29.39560 ,  0.00000 ,  0.00000 , 87.68403 ,-21.80301 ,110.96091 , 43.84703 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.66805 ,  4.00000 ,  1.55060 , 10.63230 ,-27.32248 ,-59.53373 , 24.63928 , 29.98223 ,-59.21981 , -2.67413 , 29.39482 ,  0.00000 ,  0.00000 , 87.67645 ,-21.78442 ,111.07189 , 43.85111 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.67234 ,  5.00000 ,  1.54807 , 10.63304 ,-27.32149 ,-59.53627 , 24.64002 , 29.98123 ,-59.22234 , -2.67339 , 29.39382 ,  0.00000 ,  0.00000 , 87.67072 ,-21.76000 ,111.18932 , 43.85540 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.67648 ,  5.00000 ,  1.54458 , 10.63391 ,-27.32025 ,-59.53976 , 24.64089 , 29.97999 ,-59.22583 , -2.67252 , 29.39258 ,  0.00000 ,  0.00000 , 87.66498 ,-21.73606 ,111.31285 , 43.85954 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.68059 ,  5.00000 ,  1.54140 , 10.63468 ,-27.31919 ,-59.54293 , 24.64166 , 29.97894 ,-59.22901 , -2.67175 , 29.39153 ,  0.00000 ,  0.00000 , 87.65813 ,-21.71062 ,111.43770 , 43.86365 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.68485 ,  5.00000 ,  1.53838 , 10.63525 ,-27.31797 ,-59.54596 , 24.64224 , 29.97771 ,-59.23203 , -2.67117 , 29.39030 ,  0.00000 ,  0.00000 , 87.65320 ,-21.68505 ,111.56409 , 43.86791 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.68897 ,  6.00000 ,  1.53524 , 10.63689 ,-27.31624 ,-59.54909 , 24.64387 , 29.97598 ,-59.23517 , -2.66954 , 29.38857 ,  0.00000 ,  0.00000 , 87.65386 ,-21.65969 ,111.68575 , 43.87204 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.69305 ,  6.00000 ,  1.53138 , 10.63755 ,-27.31503 ,-59.55295 , 24.64453 , 29.97478 ,-59.23903 , -2.66888 , 29.38737 ,  0.00000 ,  0.00000 , 87.65520 ,-21.63871 ,111.80526 , 43.87611 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
