trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00013,   0.00000,   4.69727,  10.81958,  -0.76733,  17.55501,  10.55732,   4.05340,  18.33449,  10.35214,   6.40483,   0.00000,   0.00000,   0.00000,   1.00000,   0.00013,   0.00000,   4.04237, -12.20217,  -0.42247,  18.24216,  10.60397,   4.86276,  18.51014,  10.84346,   5.64855,   0.00000,   0.00000,   0.00000,   0.74547,   2.00000, 
  1.00000,   0.00102, 183.00000,   4.67862,  10.90157,  -0.73368,  17.57366,  10.63931,   4.08706,  18.35313,  10.43412,   6.37117,   0.00000,   0.00000,   0.00000,   1.00000,   0.00102, 183.00000,   4.10077, -12.01877,  -0.54789,  18.18376,  10.42057,   4.73734,  18.45173,  10.66006,   5.77397,   0.00000,   0.00000,   0.00000,   0.74547,   2.00000, 
  1.00000,   0.00339, 184.00000,   4.67844,  10.90215,  -0.73345,  17.57384,  10.63989,   4.08729,  18.35331,  10.43471,   6.37094,   0.00000,   0.00000,   0.00000,   1.00000,   0.00339, 184.00000,   4.09999, -12.01784,  -0.54771,  18.18455,  10.41964,   4.73752,  18.45252,  10.65914,   5.77378,   0.00000,   0.00000,   0.00000,   0.74547,   2.00000, 
  1.00000,   0.00744, 185.00000,   4.67838,  10.90263,  -0.73295,  17.57389,  10.64037,   4.08778,  18.35337,  10.43518,   6.37045,   0.00000,   0.00000,   0.00000,   1.00000,   0.00744, 185.00000,   4.09884, -12.01685,  -0.54732,  18.18570,  10.41865,   4.73791,  18.45367,  10.65815,   5.77340,   0.00000,   0.00000,   0.00000,   0.74547,   2.00000, 
  1.00000,   0.01170, 186.00000,   4.67835,  10.90311,  -0.73268,  17.57393,  10.64085,   4.08806,  18.35340,  10.43566,   6.37018,   0.00000,   0.00000,   0.00000,   1.00000,   0.01170, 186.00000,   4.09769, -12.01584,  -0.54747,  18.18684,  10.41764,   4.73776,  18.45481,  10.65714,   5.77355,   0.00000,   0.00000,   0.00000,   0.74547,   2.00000, 
  1.00000,   0.01580, 187.00000,   4.67813,  10.90352,  -0.73218,  17.57415,  10.64126,   4.08856,  18.35362,  10.43607,   6.36967,   0.00000,   0.00000,   0.00000,   1.00000,   0.01580, 187.00000,   4.09675, -12.01486,  -0.54701,  18.18779,  10.41666,   4.73822,  18.45576,  10.65616,   5.77308,   0.00000,   0.00000,   0.00000,   0.74547,   2.00000, 
  1.00000,   0.01991, 188.00000,   4.67832,  10.90378,  -0.73176,  17.57395,  10.64152,   4.08898,  18.35343,  10.43634,   6.36925,   0.00000,   0.00000,   0.00000,   1.00000,   0.01991, 188.00000,   4.09519, -12.01402,  -0.54684,  18.18935,  10.41582,   4.73839,  18.45732,  10.65532,   5.77292,   0.00000,   0.00000,   0.00000,   0.74547,   2.00000, 
  1.00000,   0.02419, 189.00000,   4.67854,  10.90402,  -0.73149,  17.57374,  10.64176,   4.08924,  18.35321,  10.43657,   6.36899,   0.00000,   0.00000,   0.00000,   1.00000,   0.02419, 189.00000,   4.09352, -12.01321,  -0.54666,  18.19101,  10.41501,   4.73857,  18.45898,  10.65450,   5.77273,   0.00000,   0.00000,   0.00000,   0.74547,   2.00000, 
  1.00000,   0.02830, 190.00000,   4.67848,  10.90432,  -0.73154,  17.57379,  10.64206,   4.08920,  18.35327,  10.43687,   6.36904,   0.00000,   0.00000,   0.00000,   1.00000,   0.02830, 190.00000,   4.09220, -12.01226,  -0.54630,  18.19233,  10.41406,   4.73893,  18.46031,  10.65356,   5.77237,   0.00000,   0.00000,   0.00000,   0.74547,   2.00000, 
  1.00000,   0.03245, 191.00000,   4.67849,  10.90455,  -0.73114,  17.57379,  10.64229,   4.08960,  18.35326,  10.43710,   6.36863,   0.00000,   0.00000,   0.00000,   1.00000,   0.03245, 191.00000,   4.09110, -12.01119,  -0.54639,  18.19343,  10.41299,   4.73884,  18.46141,  10.65249,   5.77246,   0.00000,   0.00000,   0.00000,   0.74547,   2.00000, 
