trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   0.00009,   0.00000,   4.66398,  11.10191,   0.57865,  18.02550,  10.52400,   6.55844,  18.56812,  10.42142,   5.24119,   0.00000,   0.00000,   0.00000,   1.00000,   0.00009,   0.00000,   3.96213, -10.40524,   0.40514,  18.30742,   8.60252,   6.13073,  18.59898,   8.95549,   5.39053,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02504,   6.00000,   4.66398,  11.10377,   0.57895,  18.02551,  10.52586,   6.55874,  18.56813,  10.42328,   5.24089,   0.00000,   0.00000,   0.00000,   1.00000,   0.02504,   6.00000,   3.96191, -10.40493,   0.40533,  18.30764,   8.60222,   6.13092,  18.59920,   8.95518,   5.39034,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02713,   7.00000,   4.66405,  11.10408,   0.57930,  18.02543,  10.52617,   6.55909,  18.56805,  10.42359,   5.24054,   0.00000,   0.00000,   0.00000,   1.00000,   0.02713,   7.00000,   3.96187, -10.40487,   0.40537,  18.30767,   8.60215,   6.13096,  18.59924,   8.95511,   5.39030,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03123,   8.00000,   4.66430,  11.10423,   0.57914,  18.02518,  10.52632,   6.55893,  18.56780,  10.42374,   5.24070,   0.00000,   0.00000,   0.00000,   1.00000,   0.03123,   8.00000,   3.96188, -10.40477,   0.40538,  18.30767,   8.60205,   6.13096,  18.59923,   8.95502,   5.39030,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03547,   9.00000,   4.66434,  11.10453,   0.57909,  18.02514,  10.52662,   6.55888,  18.56776,  10.42404,   5.24075,   0.00000,   0.00000,   0.00000,   1.00000,   0.03547,   9.00000,   3.96190, -10.40469,   0.40534,  18.30765,   8.60198,   6.13092,  18.59921,   8.95494,   5.39034,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03964,  10.00000,   4.66419,  11.10490,   0.57937,  18.02529,  10.52699,   6.55916,  18.56791,  10.42441,   5.24047,   0.00000,   0.00000,   0.00000,   1.00000,   0.03964,  10.00000,   3.96193, -10.40464,   0.40530,  18.30761,   8.60193,   6.13089,  18.59918,   8.95489,   5.39037,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.04377,  11.00000,   4.66418,  11.10519,   0.57958,  18.02530,  10.52728,   6.55937,  18.56792,  10.42470,   5.24026,   0.00000,   0.00000,   0.00000,   1.00000,   0.04377,  11.00000,   3.96214, -10.40453,   0.40529,  18.30741,   8.60182,   6.13088,  18.59897,   8.95478,   5.39038,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.04799,  12.00000,   4.66418,  11.10546,   0.57962,  18.02531,  10.52756,   6.55940,  18.56792,  10.42498,   5.24022,   0.00000,   0.00000,   0.00000,   1.00000,   0.04799,  12.00000,   3.96220, -10.40453,   0.40531,  18.30735,   8.60181,   6.13090,  18.59891,   8.95478,   5.39036,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.05211,  13.00000,   4.66428,  11.10566,   0.57949,  18.02520,  10.52775,   6.55928,  18.56782,  10.42517,   5.24035,   0.00000,   0.00000,   0.00000,   1.00000,   0.05211,  13.00000,   3.96224, -10.40459,   0.40530,  18.30730,   8.60188,   6.13089,  18.59887,   8.95484,   5.39037,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.05621,  14.00000,   4.66432,  11.10591,   0.57956,  18.02516,  10.52800,   6.55935,  18.56778,  10.42542,   5.24028,   0.00000,   0.00000,   0.00000,   1.00000,   0.05621,  14.00000,   3.96231, -10.40464,   0.40537,  18.30724,   8.60193,   6.13095,  18.59880,   8.95489,   5.39031,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.06049,  15.00000,   4.66410,  11.10626,   0.58008,  18.02538,  10.52835,   6.55987,  18.56800,  10.42577,   5.23976,   0.00000,   0.00000,   0.00000,   1.00000,   0.06049,  15.00000,   3.96228, -10.40475,   0.40549,  18.30727,   8.60203,   6.13108,  18.59883,   8.95499,   5.39018,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.06459,  16.00000,   4.66435,  11.10635,   0.57986,  18.02513,  10.52844,   6.55965,  18.56775,  10.42586,   5.23998,   0.00000,   0.00000,   0.00000,   1.00000,   0.06459,  16.00000,   3.96225, -10.40486,   0.40552,  18.30730,   8.60215,   6.13111,  18.59886,   8.95511,   5.39015,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.06870,  17.00000,   4.66441,  11.10658,   0.57998,  18.02507,  10.52867,   6.55976,  18.56769,  10.42609,   5.23986,   0.00000,   0.00000,   0.00000,   1.00000,   0.06870,  17.00000,   3.96229, -10.40496,   0.40552,  18.30725,   8.60225,   6.13111,  18.59882,   8.95521,   5.39015,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.07298,  18.00000,   4.66429,  11.10686,   0.58003,  18.02520,  10.52895,   6.55982,  18.56782,  10.42637,   5.23981,   0.00000,   0.00000,   0.00000,   1.00000,   0.07298,  18.00000,   3.96229, -10.40518,   0.40561,  18.30725,   8.60246,   6.13120,  18.59882,   8.95542,   5.39006,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.07709,  19.00000,   4.66424,  11.10710,   0.58015,  18.02525,  10.52919,   6.55994,  18.56786,  10.42661,   5.23969,   0.00000,   0.00000,   0.00000,   1.00000,   0.07709,  19.00000,   3.96224, -10.40540,   0.40564,  18.30730,   8.60268,   6.13123,  18.59887,   8.95564,   5.39003,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.08122,  20.00000,   4.66441,  11.10724,   0.58015,  18.02508,  10.52933,   6.55994,  18.56770,  10.42675,   5.23969,   0.00000,   0.00000,   0.00000,   1.00000,   0.08122,  20.00000,   3.96232, -10.40553,   0.40559,  18.30723,   8.60282,   6.13118,  18.59879,   8.95578,   5.39008,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.08562,  21.00000,   4.66444,  11.10746,   0.58006,  18.02504,  10.52955,   6.55984,  18.56766,  10.42697,   5.23978,   0.00000,   0.00000,   0.00000,   1.00000,   0.08562,  21.00000,   3.96230, -10.40566,   0.40577,  18.30725,   8.60294,   6.13136,  18.59881,   8.95590,   5.38990,   0.00000,   0.00000,   0.00000, 
