trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.05610, 256.00000,   4.56525,   9.96818,  -0.63291,  18.88216,  10.10062,   4.70206,  18.62858,   9.97575,   5.82701,   0.00000,   0.00000,   0.00000,   1.00000,   0.05610, 256.00000,   3.84250, -10.85408,  -0.10147,  19.66724,   9.40325,   4.56974,  18.93381,   9.53220,   5.13314,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.06021, 257.00000,   4.56534,   9.96836,  -0.63239,  18.88206,  10.10080,   4.70258,  18.62848,   9.97593,   5.82649,   0.00000,   0.00000,   0.00000,   1.00000,   0.06021, 257.00000,   3.84242, -10.85402,  -0.10146,  19.66732,   9.40319,   4.56976,  18.93389,   9.53213,   5.13312,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.06446, 258.00000,   4.56554,   9.96849,  -0.63232,  18.88186,  10.10094,   4.70265,  18.62828,   9.97606,   5.82642,   0.00000,   0.00000,   0.00000,   1.00000,   0.06446, 258.00000,   3.84242, -10.85394,  -0.10141,  19.66732,   9.40310,   4.56981,  18.93389,   9.53205,   5.13307,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.06859, 259.00000,   4.56549,   9.96874,  -0.63192,  18.88192,  10.10119,   4.70305,  18.62834,   9.97631,   5.82603,   0.00000,   0.00000,   0.00000,   1.00000,   0.06859, 259.00000,   3.84238, -10.85383,  -0.10125,  19.66736,   9.40300,   4.56997,  18.93393,   9.53194,   5.13291,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.07275, 260.00000,   4.56559,   9.96893,  -0.63166,  18.88182,  10.10137,   4.70331,  18.62824,   9.97649,   5.82576,   0.00000,   0.00000,   0.00000,   1.00000,   0.07275, 260.00000,   3.84240, -10.85375,  -0.10136,  19.66734,   9.40291,   4.56986,  18.93391,   9.53186,   5.13302,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.07699, 261.00000,   4.56567,   9.96918,  -0.63131,  18.88173,  10.10163,   4.70366,  18.62815,   9.97675,   5.82541,   0.00000,   0.00000,   0.00000,   1.00000,   0.07699, 261.00000,   3.84224, -10.85371,  -0.10140,  19.66750,   9.40287,   4.56982,  18.93407,   9.53182,   5.13307,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.08110, 262.00000,   4.56576,   9.96947,  -0.63110,  18.88165,  10.10192,   4.70387,  18.62807,   9.97704,   5.82521,   0.00000,   0.00000,   0.00000,   1.00000,   0.08110, 262.00000,   3.84210, -10.85370,  -0.10125,  19.66764,   9.40287,   4.56996,  18.93421,   9.53182,   5.13292,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.08521, 263.00000,   4.56577,   9.96983,  -0.63085,  18.88164,  10.10228,   4.70413,  18.62806,   9.97740,   5.82495,   0.00000,   0.00000,   0.00000,   1.00000,   0.08521, 263.00000,   3.84214, -10.85365,  -0.10129,  19.66760,   9.40282,   4.56993,  18.93417,   9.53177,   5.13295,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.08946, 264.00000,   4.56592,   9.97014,  -0.63061,  18.88148,  10.10259,   4.70436,  18.62790,   9.97771,   5.82471,   0.00000,   0.00000,   0.00000,   1.00000,   0.08946, 264.00000,   3.84222, -10.85358,  -0.10127,  19.66752,   9.40275,   4.56995,  18.93409,   9.53170,   5.13293,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.09361, 265.00000,   4.56579,   9.97054,  -0.63061,  18.88161,  10.10298,   4.70436,  18.62803,   9.97811,   5.82471,   0.00000,   0.00000,   0.00000,   1.00000,   0.09361, 265.00000,   3.84229, -10.85351,  -0.10122,  19.66745,   9.40268,   4.57000,  18.93402,   9.53162,   5.13289,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.09771, 266.00000,   4.56592,   9.97095,  -0.63061,  18.88148,  10.10340,   4.70437,  18.62791,   9.97852,   5.82471,   0.00000,   0.00000,   0.00000,   1.00000,   0.09771, 266.00000,   3.84234, -10.85345,  -0.10103,  19.66740,   9.40262,   4.57019,  18.93397,   9.53157,   5.13270,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.10199, 267.00000,   4.56590,   9.97151,  -0.63040,  18.88150,  10.10395,   4.70457,  18.62793,   9.97908,   5.82450,   0.00000,   0.00000,   0.00000,   1.00000,   0.10199, 267.00000,   3.84231, -10.85342,  -0.10110,  19.66743,   9.40259,   4.57012,  18.93400,   9.53154,   5.13276,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.10611, 268.00000,   4.56584,   9.97206,  -0.63045,  18.88156,  10.10451,   4.70452,  18.62799,   9.97963,   5.82455,   0.00000,   0.00000,   0.00000,   1.00000,   0.10611, 268.00000,   3.84227, -10.85342,  -0.10113,  19.66747,   9.40259,   4.57009,  18.93404,   9.53154,   5.13279,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.11021, 269.00000,   4.56601,   9.97258,  -0.63038,  18.88139,  10.10502,   4.70459,  18.62781,   9.98015,   5.82448,   0.00000,   0.00000,   0.00000,   1.00000,   0.11021, 269.00000,   3.84226, -10.85342,  -0.10104,  19.66749,   9.40259,   4.57018,  18.93405,   9.53154,   5.13270,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.11451, 270.00000,   4.56617,   9.97305,  -0.63018,  18.88123,  10.10550,   4.70479,  18.62765,   9.98062,   5.82428,   0.00000,   0.00000,   0.00000,   1.00000,   0.11451, 270.00000,   3.84233, -10.85336,  -0.10104,  19.66741,   9.40253,   4.57018,  18.93398,   9.53148,   5.13270,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.11861, 271.00000,   4.56601,   9.97369,  -0.63026,  18.88139,  10.10614,   4.70472,  18.62781,   9.98126,   5.82436,   0.00000,   0.00000,   0.00000,   1.00000,   0.11861, 271.00000,   3.84235, -10.85336,  -0.10107,  19.66739,   9.40253,   4.57015,  18.93396,   9.53148,   5.13273,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.12271, 272.00000,   4.56607,   9.97420,  -0.63034,  18.88133,  10.10665,   4.70463,  18.62775,   9.98177,   5.82444,   0.00000,   0.00000,   0.00000,   1.00000,   0.12271, 272.00000,   3.84237, -10.85336,  -0.10106,  19.66737,   9.40252,   4.57016,  18.93394,   9.53147,   5.13272,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.12696, 273.00000,   4.56617,   9.97483,  -0.63010,  18.88123,  10.10728,   4.70487,  18.62766,   9.98240,   5.82420,   0.00000,   0.00000,   0.00000,   1.00000,   0.12696, 273.00000,   3.84230, -10.85339,  -0.10107,  19.66744,   9.40256,   4.57015,  18.93401,   9.53151,   5.13273,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.13111, 274.00000,   4.56619,   9.97538,  -0.63034,  18.88121,  10.10782,   4.70464,  18.62763,   9.98295,   5.82444,   0.00000,   0.00000,   0.00000,   1.00000,   0.13111, 274.00000,   3.84232, -10.85341,  -0.10098,  19.66742,   9.40258,   4.57023,  18.93399,   9.53153,   5.13265,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.13525, 275.00000,   4.56626,   9.97592,  -0.63042,  18.88115,  10.10836,   4.70455,  18.62757,   9.98349,   5.82452,   0.00000,   0.00000,   0.00000,   1.00000,   0.13525, 275.00000,   3.84232, -10.85343,  -0.10104,  19.66742,   9.40260,   4.57018,  18.93399,   9.53155,   5.13270,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.13946, 276.00000,   4.56606,   9.97660,  -0.63003,  18.88135,  10.10905,   4.70494,  18.62777,   9.98417,   5.82413,   0.00000,   0.00000,   0.00000,   1.00000,   0.13946, 276.00000,   3.84241, -10.85344,  -0.10102,  19.66733,   9.40261,   4.57020,  18.93390,   9.53156,   5.13268,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.14361, 277.00000,   4.56604,   9.97721,  -0.63037,  18.88136,  10.10965,   4.70461,  18.62778,   9.98478,   5.82447,   0.00000,   0.00000,   0.00000,   1.00000,   0.14361, 277.00000,   3.84243, -10.85348,  -0.10101,  19.66731,   9.40265,   4.57021,  18.93388,   9.53160,   5.13267,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.14774, 278.00000,   4.56622,   9.97772,  -0.63009,  18.88119,  10.11016,   4.70488,  18.62761,   9.98528,   5.82419,   0.00000,   0.00000,   0.00000,   1.00000,   0.14774, 278.00000,   3.84243, -10.85354,  -0.10105,  19.66731,   9.40271,   4.57017,  18.93388,   9.53165,   5.13271,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.15196, 279.00000,   4.56619,   9.97830,  -0.63032,  18.88121,  10.11075,   4.70465,  18.62763,   9.98587,   5.82442,   0.00000,   0.00000,   0.00000,   1.00000,   0.15196, 279.00000,   3.84246, -10.85362,  -0.10100,  19.66728,   9.40279,   4.57022,  18.93385,   9.53174,   5.13266,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.15608, 280.00000,   4.56621,   9.97886,  -0.63034,  18.88119,  10.11130,   4.70463,  18.62761,   9.98642,   5.82444,   0.00000,   0.00000,   0.00000,   1.00000,   0.15608, 280.00000,   3.84250, -10.85376,  -0.10096,  19.66724,   9.40293,   4.57026,  18.93381,   9.53188,   5.13262,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.16022, 281.00000,   4.56633,   9.97938,  -0.63026,  18.88108,  10.11182,   4.70471,  18.62750,   9.98694,   5.82437,   0.00000,   0.00000,   0.00000,   1.00000,   0.16022, 281.00000,   3.84254, -10.85389,  -0.10096,  19.66720,   9.40306,   4.57026,  18.93377,   9.53201,   5.13262,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.16450, 282.00000,   4.56646,   9.97988,  -0.63030,  18.88094,  10.11233,   4.70467,  18.62736,   9.98745,   5.82440,   0.00000,   0.00000,   0.00000,   1.00000,   0.16450, 282.00000,   3.84266, -10.85400,  -0.10087,  19.66708,   9.40317,   4.57035,  18.93365,   9.53212,   5.13253,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.16859, 283.00000,   4.56656,   9.98046,  -0.63020,  18.88084,  10.11291,   4.70477,  18.62726,   9.98803,   5.82430,   0.00000,   0.00000,   0.00000,   1.00000,   0.16859, 283.00000,   3.84271, -10.85413,  -0.10091,  19.66703,   9.40330,   4.57031,  18.93360,   9.53224,   5.13257,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.17273, 284.00000,   4.56653,   9.98105,  -0.63017,  18.88087,  10.11350,   4.70481,  18.62729,   9.98862,   5.82427,   0.00000,   0.00000,   0.00000,   1.00000,   0.17273, 284.00000,   3.84270, -10.85428,  -0.10084,  19.66704,   9.40345,   4.57038,  18.93361,   9.53240,   5.13250,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.17701, 285.00000,   4.56635,   9.98172,  -0.62996,  18.88105,  10.11417,   4.70502,  18.62747,   9.98929,   5.82406,   0.00000,   0.00000,   0.00000,   1.00000,   0.17701, 285.00000,   3.84270, -10.85443,  -0.10061,  19.66704,   9.40360,   4.57061,  18.93361,   9.53255,   5.13228,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.18109, 286.00000,   4.56654,   9.98223,  -0.63004,  18.88086,  10.11468,   4.70493,  18.62728,   9.98980,   5.82414,   0.00000,   0.00000,   0.00000,   1.00000,   0.18109, 286.00000,   3.84269, -10.85457,  -0.10071,  19.66705,   9.40374,   4.57051,  18.93362,   9.53269,   5.13237,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.18523, 287.00000,   4.56660,   9.98283,  -0.63004,  18.88080,  10.11528,   4.70493,  18.62723,   9.99040,   5.82414,   0.00000,   0.00000,   0.00000,   1.00000,   0.18523, 287.00000,   3.84283, -10.85460,  -0.10071,  19.66691,   9.40377,   4.57051,  18.93348,   9.53272,   5.13237,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.18945, 288.00000,   4.56669,   9.98339,  -0.62988,  18.88072,  10.11584,   4.70509,  18.62714,   9.99096,   5.82398,   0.00000,   0.00000,   0.00000,   1.00000,   0.18945, 288.00000,   3.84266, -10.85474,  -0.10081,  19.66709,   9.40391,   4.57041,  18.93365,   9.53286,   5.13247,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.19358, 289.00000,   4.56665,   9.98394,  -0.63004,  18.88075,  10.11638,   4.70494,  18.62717,   9.99151,   5.82414,   0.00000,   0.00000,   0.00000,   1.00000,   0.19358, 289.00000,   3.84268, -10.85479,  -0.10069,  19.66706,   9.40396,   4.57053,  18.93363,   9.53291,   5.13235,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.19774, 290.00000,   4.56671,   9.98452,  -0.62993,  18.88069,  10.11696,   4.70505,  18.62711,   9.99208,   5.82403,   0.00000,   0.00000,   0.00000,   1.00000,   0.19774, 290.00000,   3.84272, -10.85487,  -0.10060,  19.66702,   9.40404,   4.57062,  18.93359,   9.53299,   5.13226,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.20195, 291.00000,   4.56674,   9.98504,  -0.63013,  18.88066,  10.11749,   4.70484,  18.62708,   9.99261,   5.82423,   0.00000,   0.00000,   0.00000,   1.00000,   0.20195, 291.00000,   3.84276, -10.85490,  -0.10071,  19.66698,   9.40407,   4.57051,  18.93355,   9.53302,   5.13238,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.20613, 292.00000,   4.56675,   9.98559,  -0.63002,  18.88066,  10.11803,   4.70495,  18.62708,   9.99315,   5.82412,   0.00000,   0.00000,   0.00000,   1.00000,   0.20613, 292.00000,   3.84277, -10.85495,  -0.10079,  19.66697,   9.40412,   4.57043,  18.93354,   9.53307,   5.13245,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.21026, 293.00000,   4.56689,   9.98611,  -0.62975,  18.88051,  10.11856,   4.70522,  18.62693,   9.99368,   5.82385,   0.00000,   0.00000,   0.00000,   1.00000,   0.21026, 293.00000,   3.84265, -10.85505,  -0.10065,  19.66709,   9.40421,   4.57057,  18.93366,   9.53316,   5.13232,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.21449, 294.00000,   4.56685,   9.98668,  -0.62988,  18.88055,  10.11912,   4.70509,  18.62697,   9.99424,   5.82398,   0.00000,   0.00000,   0.00000,   1.00000,   0.21449, 294.00000,   3.84275, -10.85505,  -0.10056,  19.66699,   9.40422,   4.57066,  18.93356,   9.53317,   5.13222,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
