trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   6.00000,   2.25498,   0.03163, 1418.00000,   0.00722,   3.76506, -11.22525,  21.78924,  21.89104,   0.00000,   0.00000,   0.00578,  -0.00017,  -0.02182, 509.63794, 724.00434,  10.02182, 526.10359, 496.71639,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.04828, 1426.00000,   0.00677,   3.76523, -11.22508,  21.78891,  21.89091,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.07474, 1432.00000,   0.00671,   3.76494, -11.22488,  21.78906,  21.89109,   0.00000,   0.00000,   0.00865,  -0.00042,  -0.03490, 509.54499, 724.01086,  10.03490, 526.14759, 496.69422,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09213, 1436.00000,   0.00698,   3.76492, -11.22482,  21.78911,  21.89102,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09375, 1437.00000,   0.00699,   3.76496, -11.22482,  21.78908,  21.89098,   0.00000,   0.00000,   0.00934,  -0.00085,  -0.04655, 509.52270, 724.02195,  10.04655, 526.16684, 496.69800,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09771, 1438.00000,   0.00703,   3.76502, -11.22482,  21.78904,  21.89092,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10182, 1439.00000,   0.00702,   3.76504, -11.22483,  21.78903,  21.89092,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10614, 1440.00000,   0.00711,   3.76503, -11.22488,  21.78908,  21.89092,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11031, 1441.00000,   0.00727,   3.76512, -11.22491,  21.78905,  21.89082,   0.00000,   0.00000,   0.00864,  -0.00137,  -0.05616, 509.54548, 724.03551,  10.05616, 526.16988, 496.71786,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11431, 1442.00000,   0.00722,   3.76514, -11.22497,  21.78905,  21.89084,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
