trial , timeA , yA , zA , xA , yoA , piA , roA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , yB , zB , xB , yoB , piB , roB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,expTime,waitTime,instructedTarget,Endtrialtime,absTime
  1.00000,   2.47814,  13.43093,  24.55212,  -2.28317, -94.50078,  29.05762, -84.32133,  47.39805,  23.71784,  12.94781,  47.11836,  23.41609,  15.95161,   0.00000,   0.00000,   0.00000,   1.00000,   2.47814,  11.59949, -26.72814,   0.66987,  80.25612, -35.03313, 106.53790,  49.48484,  24.06839,  14.67685,  49.17091,  24.65580,  12.63655,   0.00000,   0.00000,   0.00000,   2.82505,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.02175,  11.18763,  24.97806,  -2.21073, -89.88069,  24.85699, -91.50024,  49.64135,  24.14379,  13.02025,  49.36167,  23.84204,  15.87918,   0.00000,   0.00000,   0.00000,   1.00000,   0.02175,  10.59308, -26.85387,   0.71278,  86.87827, -33.11771, 107.01848,  50.49125,  24.19413,  14.71976,  50.17733,  24.78154,  12.59365,   0.00000,   0.00000,   0.00000,   6.73595,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.02175,  11.18741,  24.97833,  -2.21123, -89.88068,  24.85475, -91.49850,  49.64157,  24.14406,  13.01975,  49.36189,  23.84231,  15.87967,   0.00000,   0.00000,   0.00000,   1.00000,   0.02175,  10.59230, -26.85414,   0.71247,  86.87869, -33.11845, 107.02719,  50.49203,  24.19440,  14.71945,  50.17811,  24.78181,  12.59395,   0.00000,   0.00000,   0.00000,   6.73595,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.02175,  11.18723,  24.97847,  -2.21056, -89.87807,  24.85499, -91.49181,  49.64175,  24.14420,  13.02042,  49.36207,  23.84245,  15.87901,   0.00000,   0.00000,   0.00000,   1.00000,   0.02175,  10.59299, -26.85375,   0.71235,  86.88488, -33.11752, 107.04058,  50.49134,  24.19400,  14.71933,  50.17741,  24.78141,  12.59407,   0.00000,   0.00000,   0.00000,   6.73595,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.02175,  11.18757,  24.97864,  -2.21068, -89.87866,  24.85396, -91.48556,  49.64141,  24.14437,  13.02030,  49.36172,  23.84262,  15.87912,   0.00000,   0.00000,   0.00000,   1.00000,   0.02175,  10.59251, -26.85386,   0.71232,  86.88464, -33.11499, 107.06042,  50.49182,  24.19412,  14.71930,  50.17789,  24.78153,  12.59410,   0.00000,   0.00000,   0.00000,   6.73595,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.02175,  11.18729,  24.97908,  -2.21037, -89.87541,  24.85208, -91.47876,  49.64169,  24.14481,  13.02061,  49.36200,  23.84306,  15.87881,   0.00000,   0.00000,   0.00000,   1.00000,   0.02175,  10.59221, -26.85370,   0.71181,  86.88757, -33.11522, 107.07601,  50.49213,  24.19396,  14.71879,  50.17820,  24.78137,  12.59461,   0.00000,   0.00000,   0.00000,   6.73595,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.02788,  11.18738,  24.97938,  -2.21014, -89.87335,  24.85162, -91.47521,  49.64160,  24.14511,  13.02084,  49.36192,  23.84336,  15.87859,   0.00000,   0.00000,   0.00000,   1.00000,   0.02788,  10.59288, -26.85317,   0.71098,  86.89460, -33.11767, 107.08756,  50.49145,  24.19343,  14.71796,  50.17753,  24.78084,  12.59545,   0.00000,   0.00000,   0.00000,   6.74208,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.02788,  11.18774,  24.97963,  -2.21053, -89.87392,  24.85011, -91.47523,  49.64124,  24.14536,  13.02045,  49.36155,  23.84361,  15.87897,   0.00000,   0.00000,   0.00000,   1.00000,   0.02788,  10.59252, -26.85315,   0.71151,  86.90328, -33.11561, 107.09151,  50.49181,  24.19341,  14.71849,  50.17789,  24.78082,  12.59492,   0.00000,   0.00000,   0.00000,   6.74208,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.03197,  11.18807,  24.98002,  -2.21005, -89.87131,  24.84979, -91.46998,  49.64091,  24.14575,  13.02093,  49.36122,  23.84400,  15.87849,   0.00000,   0.00000,   0.00000,   1.00000,   0.03197,  10.59279, -26.85279,   0.71113,  86.91023, -33.11576, 107.09564,  50.49154,  24.19304,  14.71811,  50.17762,  24.78045,  12.59530,   0.00000,   0.00000,   0.00000,   6.74617,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.03611,  11.18797,  24.98037,  -2.21076, -89.86867,  24.84617, -91.46314,  49.64101,  24.14610,  13.02022,  49.36132,  23.84435,  15.87920,   0.00000,   0.00000,   0.00000,   1.00000,   0.03611,  10.59323, -26.85243,   0.71065,  86.91914, -33.11689, 107.09682,  50.49111,  24.19269,  14.71763,  50.17718,  24.78010,  12.59578,   0.00000,   0.00000,   0.00000,   6.75030,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.04009,  11.18795,  24.98094,  -2.20994, -89.86353,  24.84661, -91.44765,  49.64103,  24.14667,  13.02104,  49.36135,  23.84492,  15.87838,   0.00000,   0.00000,   0.00000,   1.00000,   0.04009,  10.59287, -26.85241,   0.71104,  86.92859, -33.11704, 107.08833,  50.49146,  24.19267,  14.71803,  50.17754,  24.78008,  12.59538,   0.00000,   0.00000,   0.00000,   6.75426,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.04434,  11.18813,  24.98147,  -2.20971, -89.85864,  24.84442, -91.42762,  49.64085,  24.14720,  13.02127,  49.36117,  23.84545,  15.87815,   0.00000,   0.00000,   0.00000,   1.00000,   0.04434,  10.59278, -26.85227,   0.71128,  86.94006, -33.11801, 107.07877,  50.49155,  24.19253,  14.71826,  50.17763,  24.77994,  12.59515,   0.00000,   0.00000,   0.00000,   6.75851,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.04846,  11.18787,  24.98207,  -2.20935, -89.85081,  24.84297, -91.41041,  49.64111,  24.14780,  13.02163,  49.36143,  23.84605,  15.87779,   0.00000,   0.00000,   0.00000,   1.00000,   0.04846,  10.59343, -26.85166,   0.71213,  86.95863, -33.12023, 107.06551,  50.49090,  24.19192,  14.71911,  50.17698,  24.77933,  12.59430,   0.00000,   0.00000,   0.00000,   6.76263,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.05259,  11.18789,  24.98268,  -2.20960, -89.84340,  24.84261, -91.40068,  49.64108,  24.14841,  13.02138,  49.36140,  23.84666,  15.87804,   0.00000,   0.00000,   0.00000,   1.00000,   0.05259,  10.59309, -26.85163,   0.71159,  86.96935, -33.12603, 107.05513,  50.49124,  24.19189,  14.71857,  50.17732,  24.77930,  12.59483,   0.00000,   0.00000,   0.00000,   6.76676,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.05680,  11.18820,  24.98338,  -2.20853, -89.83399,  24.84408, -91.38956,  49.64078,  24.14910,  13.02245,  49.36109,  23.84735,  15.87697,   0.00000,   0.00000,   0.00000,   1.00000,   0.05680,  10.59309, -26.85141,   0.71261,  86.98468, -33.13177, 107.03763,  50.49124,  24.19167,  14.71959,  50.17732,  24.77908,  12.59382,   0.00000,   0.00000,   0.00000,   6.77097,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.06096,  11.18861,  24.98386,  -2.20913, -89.82713,  24.84213, -91.38383,  49.64037,  24.14959,  13.02185,  49.36068,  23.84784,  15.87758,   0.00000,   0.00000,   0.00000,   1.00000,   0.06096,  10.59284, -26.85119,   0.71395,  86.99860, -33.13529, 107.02112,  50.49149,  24.19144,  14.72093,  50.17757,  24.77885,  12.59248,   0.00000,   0.00000,   0.00000,   6.77513,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.06509,  11.18811,  24.98497,  -2.20851, -89.81673,  24.84445, -91.38347,  49.64087,  24.15070,  13.02247,  49.36118,  23.84895,  15.87695,   0.00000,   0.00000,   0.00000,   1.00000,   0.06509,  10.59317, -26.85080,   0.71387,  87.01258, -33.14113, 107.01575,  50.49117,  24.19105,  14.72085,  50.17724,  24.77846,  12.59255,   0.00000,   0.00000,   0.00000,   6.77926,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.06921,  11.18803,  24.98580,  -2.20879, -89.81035,  24.84629, -91.39588,  49.64095,  24.15153,  13.02219,  49.36127,  23.84978,  15.87723,   0.00000,   0.00000,   0.00000,   1.00000,   0.06921,  10.59256, -26.85021,   0.71582,  87.02785, -33.13861, 107.01395,  50.49177,  24.19047,  14.72281,  50.17785,  24.77788,  12.59060,   0.00000,   0.00000,   0.00000,   6.78338,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.07345,  11.18882,  24.98646,  -2.20862, -89.80635,  24.84802, -91.41198,  49.64016,  24.15219,  13.02236,  49.36047,  23.85044,  15.87706,   0.00000,   0.00000,   0.00000,   1.00000,   0.07345,  10.59269, -26.84963,   0.71509,  87.04250, -33.14630, 107.01672,  50.49164,  24.18989,  14.72207,  50.17772,  24.77730,  12.59134,   0.00000,   0.00000,   0.00000,   6.78763,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.07759,  11.18822,  24.98764,  -2.20939, -89.79907,  24.84852, -91.43217,  49.64076,  24.15337,  13.02159,  49.36107,  23.85162,  15.87784,   0.00000,   0.00000,   0.00000,   1.00000,   0.07759,  10.59331, -26.84848,   0.71670,  87.06581, -33.14582, 107.01163,  50.49102,  24.18873,  14.72368,  50.17710,  24.77614,  12.58973,   0.00000,   0.00000,   0.00000,   6.79176,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.08180,  11.18777,  24.98878,  -2.21025, -89.79166,  24.84772, -91.44902,  49.64121,  24.15451,  13.02073,  49.36152,  23.85276,  15.87870,   0.00000,   0.00000,   0.00000,   1.00000,   0.08180,  10.59262, -26.84779,   0.71693,  87.08396, -33.15121, 107.00346,  50.49171,  24.18804,  14.72391,  50.17779,  24.77545,  12.58950,   0.00000,   0.00000,   0.00000,   6.79598,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.08595,  11.18797,  24.98953,  -2.21083, -89.78673,  24.84642, -91.46268,  49.64101,  24.15526,  13.02015,  49.36133,  23.85351,  15.87927,   0.00000,   0.00000,   0.00000,   1.00000,   0.08595,  10.59235, -26.84714,   0.71707,  87.10259, -33.15646, 106.99445,  50.49198,  24.18740,  14.72405,  50.17805,  24.77481,  12.58936,   0.00000,   0.00000,   0.00000,   6.80012,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.09009,  11.18797,  24.99057,  -2.21028, -89.78182,  24.84941, -91.47276,  49.64101,  24.15630,  13.02070,  49.36133,  23.85455,  15.87873,   0.00000,   0.00000,   0.00000,   1.00000,   0.09009,  10.59250, -26.84630,   0.71713,  87.11813, -33.16351, 106.98540,  50.49183,  24.18656,  14.72412,  50.17791,  24.77397,  12.58929,   0.00000,   0.00000,   0.00000,   6.80426,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.09420,  11.18829,  24.99131,  -2.21026, -89.77791,  24.84967, -91.47846,  49.64069,  24.15704,  13.02072,  49.36101,  23.85529,  15.87870,   0.00000,   0.00000,   0.00000,   1.00000,   0.09420,  10.59197, -26.84586,   0.71804,  87.12280, -33.16512, 106.98199,  50.49236,  24.18612,  14.72502,  50.17844,  24.77353,  12.58839,   0.00000,   0.00000,   0.00000,   6.80838,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.09846,  11.18772,  24.99224,  -2.21090, -89.77097,  24.84912, -91.48730,  49.64126,  24.15797,  13.02008,  49.36158,  23.85621,  15.87934,   0.00000,   0.00000,   0.00000,   1.00000,   0.09846,  10.59245, -26.84509,   0.71875,  87.12720, -33.16918, 106.98097,  50.49188,  24.18534,  14.72573,  50.17795,  24.77275,  12.58768,   0.00000,   0.00000,   0.00000,   6.81263,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.10279,  11.18821,  24.99300,  -2.21115, -89.76885,  24.84975, -91.49767,  49.64077,  24.15873,  13.01983,  49.36109,  23.85698,  15.87959,   0.00000,   0.00000,   0.00000,   1.00000,   0.10279,  10.59231, -26.84440,   0.71962,  87.13268, -33.17302, 106.97542,  50.49202,  24.18465,  14.72660,  50.17809,  24.77206,  12.58681,   0.00000,   0.00000,   0.00000,   6.81699,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.10687,  11.18835,  24.99382,  -2.21124, -89.76521,  24.85102, -91.51029,  49.64063,  24.15955,  13.01974,  49.36094,  23.85780,  15.87968,   0.00000,   0.00000,   0.00000,   1.00000,   0.10687,  10.59191, -26.84430,   0.71980,  87.13845, -33.17570, 106.97098,  50.49242,  24.18456,  14.72678,  50.17850,  24.77197,  12.58662,   0.00000,   0.00000,   0.00000,   6.82107,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.11103,  11.18823,  24.99456,  -2.21161, -89.76080,  24.85099, -91.52168,  49.64075,  24.16029,  13.01937,  49.36106,  23.85854,  15.88005,   0.00000,   0.00000,   0.00000,   1.00000,   0.11103,  10.59188, -26.84394,   0.72072,  87.14938, -33.17803, 106.96899,  50.49245,  24.18419,  14.72770,  50.17853,  24.77160,  12.58571,   0.00000,   0.00000,   0.00000,   6.82521,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.11521,  11.18815,  24.99523,  -2.21148, -89.75748,  24.85161, -91.53002,  49.64083,  24.16096,  13.01950,  49.36115,  23.85921,  15.87992,   0.00000,   0.00000,   0.00000,   1.00000,   0.11521,  10.59238, -26.84347,   0.72097,  87.16164, -33.18047, 106.96638,  50.49195,  24.18373,  14.72795,  50.17802,  24.77114,  12.58545,   0.00000,   0.00000,   0.00000,   6.82940,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.11928,  11.18830,  24.99584,  -2.21188, -89.75648,  24.85009, -91.53651,  49.64068,  24.16156,  13.01910,  49.36100,  23.85981,  15.88032,   0.00000,   0.00000,   0.00000,   1.00000,   0.11928,  10.59253, -26.84344,   0.72107,  87.17212, -33.18268, 106.96914,  50.49180,  24.18369,  14.72805,  50.17788,  24.77110,  12.58536,   0.00000,   0.00000,   0.00000,   6.83345,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.12353,  11.18802,  24.99644,  -2.21206, -89.75284,  24.84832, -91.53532,  49.64096,  24.16217,  13.01892,  49.36127,  23.86042,  15.88050,   0.00000,   0.00000,   0.00000,   1.00000,   0.12353,  10.59268, -26.84319,   0.72130,  87.18517, -33.18211, 106.97762,  50.49166,  24.18345,  14.72828,  50.17773,  24.77086,  12.58513,   0.00000,   0.00000,   0.00000,   6.83772,   3.87886,   1.00000,   7.83275, 
  1.00000,   0.12764,  11.18830,  24.99667,  -2.21193, -89.75319,  24.84690, -91.53017,  49.64068,  24.16240,  13.01905,  49.36100,  23.86065,  15.88037,   0.00000,   0.00000,   0.00000,   1.00000,   0.12764,  10.59228, -26.84326,   0.72132,  87.19605, -33.17940, 106.98463,  50.49205,  24.18351,  14.72831,  50.17813,  24.77092,  12.58510,   0.00000,   0.00000,   0.00000,   6.84181,   3.87886,   1.00000,   7.83275, 
