trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   2.57898,   0.00000,   5.46105,  10.84427,   0.60382,  17.17041,  10.40553,   6.25727,  17.38823,  10.51925,   4.96147,   0.00000,   0.00000,   0.00000,   1.00000,   2.57898,   0.00000,   4.08006, -10.91880,   0.30808,  18.52285,   9.43210,   6.14606,  18.75705,   9.72075,   5.35854,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.00842,   2.00000,   5.38920,  10.76577,   0.56053,  17.24226,  10.32702,   6.21398,  17.46009,  10.44074,   5.00475,   0.00000,   0.00000,   0.00000,   1.00000,   0.00842,   2.00000,   4.07946, -10.92000,   0.33785,  18.52345,   9.43330,   6.17583,  18.75765,   9.72194,   5.32877,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01236,   3.00000,   5.35158,  10.72973,   0.53939,  17.27988,  10.29098,   6.19283,  17.49770,  10.40470,   5.02590,   0.00000,   0.00000,   0.00000,   1.00000,   0.01236,   3.00000,   4.07923, -10.91806,   0.34900,  18.52367,   9.43136,   6.18699,  18.75787,   9.72000,   5.31762,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01659,   4.00000,   5.31377,  10.69562,   0.51796,  17.31769,  10.25688,   6.17141,  17.53551,  10.37060,   5.04733,   0.00000,   0.00000,   0.00000,   1.00000,   0.01659,   4.00000,   4.07906, -10.91477,   0.35714,  18.52385,   9.42807,   6.19512,  18.75804,   9.71671,   5.30948,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02072,   5.00000,   5.27539,  10.66396,   0.49762,  17.35606,  10.22522,   6.15106,  17.57389,  10.33893,   5.06767,   0.00000,   0.00000,   0.00000,   1.00000,   0.02072,   5.00000,   4.07859, -10.91045,   0.36305,  18.52431,   9.42375,   6.20103,  18.75851,   9.71239,   5.30357,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02487,   6.00000,   5.23691,  10.63454,   0.47738,  17.39455,  10.19580,   6.13083,  17.61237,  10.30951,   5.08791,   0.00000,   0.00000,   0.00000,   1.00000,   0.02487,   6.00000,   4.07799, -10.90612,   0.36860,  18.52492,   9.41942,   6.20658,  18.75911,   9.70806,   5.29802,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02913,   7.00000,   5.19873,  10.60711,   0.45842,  17.43273,  10.16837,   6.11187,  17.65055,  10.28208,   5.10687,   0.00000,   0.00000,   0.00000,   1.00000,   0.02913,   7.00000,   4.07690, -10.90292,   0.37707,  18.52601,   9.41622,   6.21505,  18.76021,   9.70486,   5.28955,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03320,   8.00000,   5.16019,  10.58206,   0.44043,  17.47127,  10.14331,   6.09387,  17.68909,  10.25703,   5.12486,   0.00000,   0.00000,   0.00000,   1.00000,   0.03320,   8.00000,   4.07583, -10.90144,   0.38981,  18.52708,   9.41474,   6.22779,  18.76127,   9.70338,   5.27681,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03737,   9.00000,   5.12214,  10.55881,   0.42373,  17.50932,  10.12006,   6.07717,  17.72714,  10.23378,   5.14156,   0.00000,   0.00000,   0.00000,   1.00000,   0.03737,   9.00000,   4.07472, -10.90163,   0.40439,  18.52819,   9.41493,   6.24238,  18.76238,   9.70358,   5.26223,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.04159,  10.00000,   5.08384,  10.53771,   0.40822,  17.54762,  10.09897,   6.06167,  17.76544,  10.21269,   5.15707,   0.00000,   0.00000,   0.00000,   1.00000,   0.04159,  10.00000,   4.07401, -10.90287,   0.42050,  18.52890,   9.41618,   6.25848,  18.76310,   9.70482,   5.24612,   0.00000,   0.00000,   0.00000, 
