trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00013,   0.00000,   4.47077,   9.63642,  -0.84772,  18.41773,   9.73864,   4.33413,  18.94611,   9.64228,   6.35756,   0.00000,   0.00000,   0.00000,   1.00000,   0.00013,   0.00000,   3.60790, -10.57176,  -0.20885,  18.35066,   8.89974,   5.14935,  18.36992,   9.16120,   5.05042,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00100, 244.00000,   4.47705,   9.75585,  -0.82438,  18.41144,   9.85807,   4.35747,  18.93982,   9.76172,   6.33422,   0.00000,   0.00000,   0.00000,   1.00000,   0.00100, 244.00000,   3.60597, -10.56352,  -0.20039,  18.35259,   8.89150,   5.15781,  18.37185,   9.15296,   5.04196,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00249, 245.00000,   4.47699,   9.75587,  -0.82469,  18.41151,   9.85808,   4.35716,  18.93989,   9.76173,   6.33453,   0.00000,   0.00000,   0.00000,   1.00000,   0.00249, 245.00000,   3.60597, -10.56336,  -0.20004,  18.35260,   8.89134,   5.15816,  18.37186,   9.15280,   5.04161,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00663, 246.00000,   4.47699,   9.75578,  -0.82497,  18.41151,   9.85800,   4.35688,  18.93988,   9.76165,   6.33482,   0.00000,   0.00000,   0.00000,   1.00000,   0.00663, 246.00000,   3.60586, -10.56312,  -0.19958,  18.35270,   8.89110,   5.15862,  18.37196,   9.15256,   5.04115,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01074, 247.00000,   4.47683,   9.75579,  -0.82541,  18.41167,   9.85801,   4.35645,  18.94004,   9.76166,   6.33525,   0.00000,   0.00000,   0.00000,   1.00000,   0.01074, 247.00000,   3.60584, -10.56277,  -0.19915,  18.35272,   8.89075,   5.15905,  18.37198,   9.15221,   5.04072,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01499, 248.00000,   4.47675,   9.75567,  -0.82562,  18.41175,   9.85789,   4.35624,  18.94013,   9.76153,   6.33546,   0.00000,   0.00000,   0.00000,   1.00000,   0.01499, 248.00000,   3.60570, -10.56243,  -0.19885,  18.35286,   8.89041,   5.15934,  18.37213,   9.15186,   5.04042,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01910, 249.00000,   4.47653,   9.75557,  -0.82589,  18.41196,   9.85779,   4.35596,  18.94034,   9.76144,   6.33573,   0.00000,   0.00000,   0.00000,   1.00000,   0.01910, 249.00000,   3.60569, -10.56189,  -0.19846,  18.35288,   8.88987,   5.15974,  18.37214,   9.15133,   5.04003,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02324, 250.00000,   4.47666,   9.75526,  -0.82632,  18.41184,   9.85748,   4.35554,  18.94021,   9.76112,   6.33616,   0.00000,   0.00000,   0.00000,   1.00000,   0.02324, 250.00000,   3.60548, -10.56120,  -0.19780,  18.35308,   8.88918,   5.16039,  18.37234,   9.15064,   5.03937,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02746, 251.00000,   4.47655,   9.75495,  -0.82685,  18.41194,   9.85717,   4.35500,  18.94032,   9.76081,   6.33669,   0.00000,   0.00000,   0.00000,   1.00000,   0.02746, 251.00000,   3.60541, -10.56043,  -0.19741,  18.35315,   8.88841,   5.16079,  18.37241,   9.14987,   5.03898,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03166, 252.00000,   4.47624,   9.75481,  -0.82724,  18.41226,   9.85703,   4.35461,  18.94063,   9.76068,   6.33709,   0.00000,   0.00000,   0.00000,   1.00000,   0.03166, 252.00000,   3.60534, -10.55969,  -0.19690,  18.35322,   8.88767,   5.16129,  18.37248,   9.14913,   5.03847,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03571, 253.00000,   4.47618,   9.75454,  -0.82759,  18.41232,   9.85676,   4.35427,  18.94069,   9.76040,   6.33743,   0.00000,   0.00000,   0.00000,   1.00000,   0.03571, 253.00000,   3.60551, -10.55888,  -0.19638,  18.35306,   8.88686,   5.16181,  18.37232,   9.14832,   5.03795,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03998, 254.00000,   4.47614,   9.75424,  -0.82801,  18.41236,   9.85646,   4.35385,  18.94074,   9.76011,   6.33785,   0.00000,   0.00000,   0.00000,   1.00000,   0.03998, 254.00000,   3.60564, -10.55822,  -0.19575,  18.35292,   8.88620,   5.16245,  18.37218,   9.14766,   5.03732,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.04409, 255.00000,   4.47595,   9.75392,  -0.82843,  18.41255,   9.85614,   4.35342,  18.94093,   9.75978,   6.33827,   0.00000,   0.00000,   0.00000,   1.00000,   0.04409, 255.00000,   3.60580, -10.55760,  -0.19512,  18.35276,   8.88558,   5.16307,  18.37202,   9.14704,   5.03669,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
