trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00018,   0.00000,   4.58580,  10.01174,  -0.53873,  18.86161,  10.14419,   4.79624,  18.60803,  10.01931,   5.73283,   0.00000,   0.00000,   0.00000,   1.00000,   0.00018,   0.00000,   3.94125, -10.89283,  -0.00419,  19.56849,   9.44200,   4.66703,  18.83506,   9.57095,   5.03585,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.01319, 255.00000,   4.58362,   9.98681,  -0.54562,  18.86378,  10.11925,   4.78935,  18.61021,   9.99438,   5.73973,   0.00000,   0.00000,   0.00000,   1.00000,   0.01319, 255.00000,   3.94126, -10.89365,  -0.00456,  19.56848,   9.44281,   4.66666,  18.83505,   9.57176,   5.03622,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.02097, 256.00000,   4.58349,   9.98694,  -0.54548,  18.86392,  10.11939,   4.78950,  18.61034,   9.99451,   5.73958,   0.00000,   0.00000,   0.00000,   1.00000,   0.02097, 256.00000,   3.94129, -10.89363,  -0.00451,  19.56845,   9.44280,   4.66671,  18.83502,   9.57175,   5.03618,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.02135, 257.00000,   4.58355,   9.98698,  -0.54537,  18.86385,  10.11943,   4.78960,  18.61027,   9.99455,   5.73947,   0.00000,   0.00000,   0.00000,   1.00000,   0.02135, 257.00000,   3.94130, -10.89363,  -0.00448,  19.56844,   9.44279,   4.66674,  18.83501,   9.57174,   5.03614,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.02538, 258.00000,   4.58343,   9.98710,  -0.54514,  18.86397,  10.11955,   4.78983,  18.61039,   9.99467,   5.73925,   0.00000,   0.00000,   0.00000,   1.00000,   0.02538, 258.00000,   3.94130, -10.89361,  -0.00451,  19.56844,   9.44277,   4.66670,  18.83501,   9.57172,   5.03618,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.02948, 259.00000,   4.58357,   9.98713,  -0.54485,  18.86383,  10.11957,   4.79012,  18.61025,   9.99469,   5.73896,   0.00000,   0.00000,   0.00000,   1.00000,   0.02948, 259.00000,   3.94137, -10.89357,  -0.00458,  19.56837,   9.44274,   4.66664,  18.83494,   9.57169,   5.03625,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.03361, 260.00000,   4.58341,   9.98732,  -0.54434,  18.86400,  10.11977,   4.79063,  18.61042,   9.99489,   5.73844,   0.00000,   0.00000,   0.00000,   1.00000,   0.03361, 260.00000,   3.94133, -10.89356,  -0.00460,  19.56841,   9.44273,   4.66662,  18.83498,   9.57168,   5.03626,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.03786, 261.00000,   4.58327,   9.98744,  -0.54417,  18.86413,  10.11989,   4.79080,  18.61055,   9.99501,   5.73828,   0.00000,   0.00000,   0.00000,   1.00000,   0.03786, 261.00000,   3.94128, -10.89354,  -0.00459,  19.56846,   9.44271,   4.66663,  18.83503,   9.57166,   5.03626,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.04198, 262.00000,   4.58344,   9.98751,  -0.54378,  18.86397,  10.11996,   4.79119,  18.61039,   9.99508,   5.73788,   0.00000,   0.00000,   0.00000,   1.00000,   0.04198, 262.00000,   3.94126, -10.89353,  -0.00454,  19.56848,   9.44270,   4.66668,  18.83505,   9.57164,   5.03621,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.04611, 263.00000,   4.58333,   9.98766,  -0.54356,  18.86407,  10.12011,   4.79142,  18.61049,   9.99523,   5.73766,   0.00000,   0.00000,   0.00000,   1.00000,   0.04611, 263.00000,   3.94123, -10.89352,  -0.00460,  19.56851,   9.44269,   4.66662,  18.83508,   9.57163,   5.03626,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.05035, 264.00000,   4.58338,   9.98780,  -0.54307,  18.86402,  10.12024,   4.79191,  18.61044,   9.99536,   5.73717,   0.00000,   0.00000,   0.00000,   1.00000,   0.05035, 264.00000,   3.94125, -10.89350,  -0.00462,  19.56849,   9.44267,   4.66660,  18.83506,   9.57162,   5.03628,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.05447, 265.00000,   4.58348,   9.98790,  -0.54282,  18.86392,  10.12035,   4.79216,  18.61034,   9.99547,   5.73692,   0.00000,   0.00000,   0.00000,   1.00000,   0.05447, 265.00000,   3.94120, -10.89350,  -0.00460,  19.56854,   9.44267,   4.66662,  18.83511,   9.57162,   5.03626,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.05861, 266.00000,   4.58355,   9.98799,  -0.54285,  18.86386,  10.12044,   4.79212,  18.61028,   9.99556,   5.73696,   0.00000,   0.00000,   0.00000,   1.00000,   0.05861, 266.00000,   3.94114, -10.89350,  -0.00460,  19.56860,   9.44267,   4.66662,  18.83517,   9.57162,   5.03626,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.06283, 267.00000,   4.58377,   9.98813,  -0.54235,  18.86364,  10.12058,   4.79262,  18.61006,   9.99570,   5.73645,   0.00000,   0.00000,   0.00000,   1.00000,   0.06283, 267.00000,   3.94115, -10.89347,  -0.00455,  19.56859,   9.44263,   4.66666,  18.83516,   9.57158,   5.03622,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.06696, 268.00000,   4.58364,   9.98836,  -0.54232,  18.86376,  10.12081,   4.79266,  18.61018,   9.99593,   5.73642,   0.00000,   0.00000,   0.00000,   1.00000,   0.06696, 268.00000,   3.94114, -10.89344,  -0.00455,  19.56860,   9.44261,   4.66667,  18.83517,   9.57156,   5.03621,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.07109, 269.00000,   4.58373,   9.98845,  -0.54245,  18.86367,  10.12090,   4.79252,  18.61009,   9.99602,   5.73655,   0.00000,   0.00000,   0.00000,   1.00000,   0.07109, 269.00000,   3.94113, -10.89343,  -0.00458,  19.56861,   9.44260,   4.66664,  18.83518,   9.57155,   5.03624,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.07535, 270.00000,   4.58367,   9.98862,  -0.54223,  18.86373,  10.12107,   4.79274,  18.61015,   9.99619,   5.73634,   0.00000,   0.00000,   0.00000,   1.00000,   0.07535, 270.00000,   3.94113, -10.89343,  -0.00460,  19.56861,   9.44259,   4.66662,  18.83518,   9.57154,   5.03626,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.07949, 271.00000,   4.58372,   9.98874,  -0.54233,  18.86368,  10.12119,   4.79264,  18.61010,   9.99631,   5.73643,   0.00000,   0.00000,   0.00000,   1.00000,   0.07949, 271.00000,   3.94111, -10.89342,  -0.00459,  19.56863,   9.44259,   4.66663,  18.83520,   9.57154,   5.03625,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.08361, 272.00000,   4.58381,   9.98886,  -0.54232,  18.86359,  10.12131,   4.79265,  18.61001,   9.99643,   5.73642,   0.00000,   0.00000,   0.00000,   1.00000,   0.08361, 272.00000,   3.94109, -10.89342,  -0.00464,  19.56865,   9.44259,   4.66658,  18.83522,   9.57154,   5.03630,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.08785, 273.00000,   4.58376,   9.98903,  -0.54240,  18.86365,  10.12148,   4.79257,  18.61007,   9.99660,   5.73651,   0.00000,   0.00000,   0.00000,   1.00000,   0.08785, 273.00000,   3.94100, -10.89348,  -0.00471,  19.56874,   9.44265,   4.66651,  18.83531,   9.57160,   5.03637,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.09199, 274.00000,   4.58385,   9.98911,  -0.54225,  18.86356,  10.12156,   4.79272,  18.60998,   9.99668,   5.73636,   0.00000,   0.00000,   0.00000,   1.00000,   0.09199, 274.00000,   3.94107, -10.89348,  -0.00457,  19.56868,   9.44265,   4.66664,  18.83524,   9.57159,   5.03624,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.09607, 275.00000,   4.58393,   9.98916,  -0.54235,  18.86347,  10.12160,   4.79263,  18.60989,   9.99673,   5.73645,   0.00000,   0.00000,   0.00000,   1.00000,   0.09607, 275.00000,   3.94111, -10.89347,  -0.00455,  19.56863,   9.44264,   4.66667,  18.83520,   9.57158,   5.03621,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.10033, 276.00000,   4.58405,   9.98918,  -0.54240,  18.86335,  10.12163,   4.79257,  18.60977,   9.99675,   5.73650,   0.00000,   0.00000,   0.00000,   1.00000,   0.10033, 276.00000,   3.94108, -10.89352,  -0.00450,  19.56866,   9.44269,   4.66672,  18.83523,   9.57163,   5.03616,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.10448, 277.00000,   4.58396,   9.98930,  -0.54232,  18.86344,  10.12174,   4.79266,  18.60986,   9.99686,   5.73642,   0.00000,   0.00000,   0.00000,   1.00000,   0.10448, 277.00000,   3.94103, -10.89356,  -0.00451,  19.56871,   9.44273,   4.66671,  18.83528,   9.57167,   5.03617,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
