trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   6.00000,   2.25498,   0.03173, 1385.00000,  -0.06089,   3.68412, -10.60145,  22.17876,  22.26415,   0.00000,   0.00000,   0.00578,  -0.00017,  -0.02182, 512.32052, 714.99073,  10.02182, 518.19729, 497.84002,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.04840, 1393.00000,  -0.05828,   3.68396, -10.60024,  22.17898,  22.26318,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.07515, 1399.00000,  -0.05618,   3.68413, -10.60025,  22.17932,  22.26254,   0.00000,   0.00000,   0.00865,  -0.00042,  -0.03490, 512.22771, 714.99719,  10.03490, 518.24111, 497.81722,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09240, 1403.00000,  -0.05561,   3.68428, -10.60053,  22.17942,  22.26239,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09396, 1404.00000,  -0.05548,   3.68427, -10.60065,  22.17952,  22.26242,   0.00000,   0.00000,   0.00934,  -0.00085,  -0.04655, 512.20546, 715.00821,  10.04655, 518.26026, 497.82075,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09723, 1405.00000,  -0.05532,   3.68439, -10.60080,  22.17951,  22.26234,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10140, 1406.00000,  -0.05514,   3.68445, -10.60095,  22.17956,  22.26231,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10568, 1407.00000,  -0.05509,   3.68450, -10.60107,  22.17957,  22.26231,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11046, 1408.00000,  -0.05500,   3.68457, -10.60123,  22.17960,  22.26229,   0.00000,   0.00000,   0.00864,  -0.00137,  -0.05616, 512.22820, 715.02167,  10.05616, 518.26325, 497.84063,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11390, 1409.00000,  -0.05530,   3.68477, -10.60137,  22.17942,  22.26225,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
