trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   6.00000,   2.25498,   0.03162, 3547.00000,  -0.15922,   3.78787, -11.43855,  21.82868,  22.00584,   0.00000,   0.00000,   0.00578,  -0.00017,  -0.02182, 509.63794, 724.00434,  10.02182, 526.10359, 496.71639,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.04827, 3555.00000,  -0.15937,   3.78747, -11.43783,  21.82865,  22.00589,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.07514, 3561.00000,  -0.15927,   3.78750, -11.43795,  21.82870,  22.00589,   0.00000,   0.00000,   0.00865,  -0.00042,  -0.03490, 509.54499, 724.01086,  10.03490, 526.14759, 496.69422,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09248, 3565.00000,  -0.15907,   3.78750, -11.43830,  21.82891,  22.00601,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09414, 3566.00000,  -0.15904,   3.78755, -11.43843,  21.82893,  22.00602,   0.00000,   0.00000,   0.00934,  -0.00085,  -0.04655, 509.52270, 724.02195,  10.04655, 526.16684, 496.69800,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09809, 3567.00000,  -0.15913,   3.78765, -11.43856,  21.82889,  22.00602,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10223, 3568.00000,  -0.15904,   3.78752, -11.43878,  21.82912,  22.00620,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10643, 3569.00000,  -0.15904,   3.78738, -11.43899,  21.82933,  22.00642,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11066, 3570.00000,  -0.15904,   3.78753, -11.43913,  21.82927,  22.00635,   0.00000,   0.00000,   0.00864,  -0.00137,  -0.05616, 509.54548, 724.03551,  10.05616, 526.16988, 496.71786,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11474, 3571.00000,  -0.15897,   3.78756, -11.43927,  21.82932,  22.00638,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
