trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00008,   0.00000,   4.53953,  10.11566,  -0.60079,  18.59554,  10.19559,   4.51161,  18.40638,  10.10726,   5.93251,   0.00000,   0.00000,   0.00000,   1.00000,   0.00008,   0.00000,   3.97062, -10.94602,  -0.21918,  19.37617,   9.30671,   5.00821,  19.26734,   9.45743,   5.40927,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00084, 244.00000,   4.54289,  10.13283,  -0.58840,  18.59218,  10.21276,   4.52399,  18.40302,  10.12443,   5.92012,   0.00000,   0.00000,   0.00000,   1.00000,   0.00084, 244.00000,   3.96696, -10.94025,  -0.22577,  19.37983,   9.30094,   5.00163,  19.27101,   9.45166,   5.41585,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00413, 245.00000,   4.54293,  10.13293,  -0.58846,  18.59213,  10.21285,   4.52394,  18.40297,  10.12453,   5.92017,   0.00000,   0.00000,   0.00000,   1.00000,   0.00413, 245.00000,   3.96721, -10.94054,  -0.22605,  19.37958,   9.30123,   5.00134,  19.27076,   9.45195,   5.41614,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00847, 246.00000,   4.54298,  10.13301,  -0.58834,  18.59209,  10.21294,   4.52405,  18.40293,  10.12462,   5.92006,   0.00000,   0.00000,   0.00000,   1.00000,   0.00847, 246.00000,   3.96713, -10.94092,  -0.22641,  19.37966,   9.30161,   5.00098,  19.27083,   9.45232,   5.41649,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01248, 247.00000,   4.54286,  10.13318,  -0.58830,  18.59220,  10.21311,   4.52409,  18.40304,  10.12479,   5.92002,   0.00000,   0.00000,   0.00000,   1.00000,   0.01248, 247.00000,   3.96686, -10.94128,  -0.22689,  19.37993,   9.30197,   5.00050,  19.27110,   9.45269,   5.41697,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01661, 248.00000,   4.54286,  10.13333,  -0.58825,  18.59220,  10.21326,   4.52414,  18.40304,  10.12493,   5.91997,   0.00000,   0.00000,   0.00000,   1.00000,   0.01661, 248.00000,   3.96681, -10.94164,  -0.22734,  19.37998,   9.30233,   5.00005,  19.27115,   9.45305,   5.41742,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02088, 249.00000,   4.54281,  10.13350,  -0.58819,  18.59225,  10.21343,   4.52421,  18.40309,  10.12511,   5.91991,   0.00000,   0.00000,   0.00000,   1.00000,   0.02088, 249.00000,   3.96674, -10.94193,  -0.22778,  19.38005,   9.30262,   4.99962,  19.27122,   9.45334,   5.41786,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02500, 250.00000,   4.54289,  10.13357,  -0.58823,  18.59217,  10.21350,   4.52416,  18.40301,  10.12517,   5.91995,   0.00000,   0.00000,   0.00000,   1.00000,   0.02500, 250.00000,   3.96679, -10.94215,  -0.22776,  19.38000,   9.30284,   4.99963,  19.27117,   9.45355,   5.41785,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02909, 251.00000,   4.54288,  10.13367,  -0.58825,  18.59219,  10.21359,   4.52415,  18.40303,  10.12527,   5.91997,   0.00000,   0.00000,   0.00000,   1.00000,   0.02909, 251.00000,   3.96647, -10.94247,  -0.22845,  19.38032,   9.30316,   4.99895,  19.27150,   9.45387,   5.41853,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03337, 252.00000,   4.54280,  10.13377,  -0.58820,  18.59227,  10.21370,   4.52419,  18.40311,  10.12537,   5.91992,   0.00000,   0.00000,   0.00000,   1.00000,   0.03337, 252.00000,   3.96642, -10.94267,  -0.22841,  19.38038,   9.30336,   4.99899,  19.27155,   9.45407,   5.41849,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03748, 253.00000,   4.54269,  10.13386,  -0.58835,  18.59238,  10.21379,   4.52405,  18.40322,  10.12546,   5.92007,   0.00000,   0.00000,   0.00000,   1.00000,   0.03748, 253.00000,   3.96634, -10.94286,  -0.22861,  19.38045,   9.30355,   4.99879,  19.27163,   9.45427,   5.41869,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.04161, 254.00000,   4.54273,  10.13390,  -0.58831,  18.59234,  10.21383,   4.52409,  18.40318,  10.12551,   5.92002,   0.00000,   0.00000,   0.00000,   1.00000,   0.04161, 254.00000,   3.96626, -10.94295,  -0.22908,  19.38053,   9.30364,   4.99831,  19.27170,   9.45436,   5.41917,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.04587, 255.00000,   4.54266,  10.13399,  -0.58830,  18.59240,  10.21392,   4.52410,  18.40324,  10.12559,   5.92002,   0.00000,   0.00000,   0.00000,   1.00000,   0.04587, 255.00000,   3.96654, -10.94296,  -0.22942,  19.38025,   9.30365,   4.99798,  19.27143,   9.45437,   5.41950,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.04996, 256.00000,   4.54276,  10.13396,  -0.58845,  18.59231,  10.21388,   4.52394,  18.40315,  10.12556,   5.92017,   0.00000,   0.00000,   0.00000,   1.00000,   0.04996, 256.00000,   3.96633, -10.94311,  -0.22978,  19.38046,   9.30380,   4.99762,  19.27164,   9.45452,   5.41986,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.05414, 257.00000,   4.54280,  10.13393,  -0.58858,  18.59227,  10.21386,   4.52382,  18.40311,  10.12553,   5.92030,   0.00000,   0.00000,   0.00000,   1.00000,   0.05414, 257.00000,   3.96654, -10.94307,  -0.23004,  19.38025,   9.30376,   4.99735,  19.27142,   9.45447,   5.42013,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.05836, 258.00000,   4.54283,  10.13392,  -0.58860,  18.59223,  10.21385,   4.52380,  18.40307,  10.12553,   5.92032,   0.00000,   0.00000,   0.00000,   1.00000,   0.05836, 258.00000,   3.96640, -10.94316,  -0.23023,  19.38039,   9.30386,   4.99717,  19.27157,   9.45457,   5.42031,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.06249, 259.00000,   4.54286,  10.13390,  -0.58874,  18.59220,  10.21383,   4.52365,  18.40304,  10.12550,   5.92046,   0.00000,   0.00000,   0.00000,   1.00000,   0.06249, 259.00000,   3.96622, -10.94325,  -0.23068,  19.38057,   9.30394,   4.99671,  19.27174,   9.45465,   5.42077,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
