trial , timeA , yA , zA , xA , yoA , piA , roA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , yB , zB , xB , yoB , piB , roB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,expTime,waitTime,instructedTarget,Endtrialtime,absTime
  1.00000,   0.04853,  11.05411,  25.36906,  -2.09661, -87.06944,  23.75160, -93.59002,  49.27251,  24.06913,  11.86095,  50.06209,  23.99311,  15.38479,   0.00000,   0.00000,   0.00000,   1.00000,   0.04853,  10.73897, -29.07521,  -0.00883,  94.31518, -15.42671, 104.20496,  48.83235,  26.45518,  13.80633,  48.74800,  26.83155,  13.39922,   0.00000,   0.00000,   0.00000,  29.44808,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.05276,  11.05434,  25.36926,  -2.09588, -87.06683,  23.75349, -93.59570,  49.27228,  24.06933,  11.86167,  50.06187,  23.99331,  15.38407,   0.00000,   0.00000,   0.00000,   1.00000,   0.05276,  10.73805, -29.07539,  -0.00940,  94.31325, -15.42724, 104.20644,  48.83327,  26.45536,  13.80576,  48.74893,  26.83174,  13.39979,   0.00000,   0.00000,   0.00000,  29.45231,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.05689,  11.05408,  25.36968,  -2.09598, -87.06430,  23.75372, -93.60461,  49.27255,  24.06975,  11.86158,  50.06213,  23.99373,  15.38416,   0.00000,   0.00000,   0.00000,   1.00000,   0.05689,  10.73878, -29.07517,  -0.00881,  94.31677, -15.42577, 104.20472,  48.83254,  26.45514,  13.80635,  48.74819,  26.83152,  13.39920,   0.00000,   0.00000,   0.00000,  29.45644,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.06116,  11.05454,  25.36967,  -2.09582, -87.06481,  23.75404, -93.60863,  49.27209,  24.06973,  11.86173,  50.06167,  23.99372,  15.38401,   0.00000,   0.00000,   0.00000,   1.00000,   0.06116,  10.73863, -29.07499,  -0.01026,  94.31606, -15.42918, 104.20828,  48.83269,  26.45496,  13.80490,  48.74835,  26.83134,  13.40065,   0.00000,   0.00000,   0.00000,  29.46074,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.06541,  11.05376,  25.37010,  -2.09549, -87.06084,  23.75317, -93.60674,  49.27287,  24.07017,  11.86207,  50.06245,  23.99415,  15.38367,   0.00000,   0.00000,   0.00000,   1.00000,   0.06541,  10.73889, -29.07489,  -0.00895,  94.31882, -15.42455, 104.20952,  48.83243,  26.45486,  13.80621,  48.74808,  26.83124,  13.39934,   0.00000,   0.00000,   0.00000,  29.46498,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.06955,  11.05412,  25.36978,  -2.09625, -87.06275,  23.74997, -93.60408,  49.27251,  24.06984,  11.86130,  50.06209,  23.99382,  15.38444,   0.00000,   0.00000,   0.00000,   1.00000,   0.06955,  10.73924, -29.07430,  -0.01013,  94.32087, -15.42718, 104.21663,  48.83208,  26.45428,  13.80503,  48.74773,  26.83065,  13.40052,   0.00000,   0.00000,   0.00000,  29.46912,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.07366,  11.05431,  25.36968,  -2.09560, -87.06380,  23.75080, -93.60213,  49.27231,  24.06975,  11.86195,  50.06190,  23.99373,  15.38379,   0.00000,   0.00000,   0.00000,   1.00000,   0.07366,  10.73739, -29.07457,  -0.01058,  94.31622, -15.42808, 104.22283,  48.83393,  26.45454,  13.80458,  48.74959,  26.83091,  13.40097,   0.00000,   0.00000,   0.00000,  29.47323,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.07791,  11.05448,  25.36960,  -2.09576, -87.06187,  23.74813, -93.59624,  49.27215,  24.06966,  11.86180,  50.06173,  23.99364,  15.38394,   0.00000,   0.00000,   0.00000,   1.00000,   0.07791,  10.73902, -29.07354,  -0.01111,  94.32517, -15.42967, 104.23222,  48.83230,  26.45351,  13.80405,  48.74795,  26.82989,  13.40150,   0.00000,   0.00000,   0.00000,  29.47748,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.08197,  11.05338,  25.37023,  -2.09537, -87.05701,  23.74846, -93.59174,  49.27324,  24.07029,  11.86218,  50.06283,  23.99428,  15.38356,   0.00000,   0.00000,   0.00000,   1.00000,   0.08197,  10.73842, -29.07363,  -0.01073,  94.32522, -15.42689, 104.23987,  48.83290,  26.45360,  13.80443,  48.74855,  26.82997,  13.40112,   0.00000,   0.00000,   0.00000,  29.48152,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.08614,  11.05423,  25.36978,  -2.09520, -87.05807,  23.74645, -93.58379,  49.27239,  24.06984,  11.86235,  50.06197,  23.99382,  15.38339,   0.00000,   0.00000,   0.00000,   1.00000,   0.08614,  10.73839, -29.07311,  -0.01163,  94.32821, -15.42922, 104.25070,  48.83293,  26.45308,  13.80353,  48.74858,  26.82946,  13.40202,   0.00000,   0.00000,   0.00000,  29.48571,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.09028,  11.05416,  25.36957,  -2.09516, -87.05800,  23.74404, -93.57508,  49.27246,  24.06963,  11.86239,  50.06204,  23.99361,  15.38335,   0.00000,   0.00000,   0.00000,   1.00000,   0.09028,  10.73886, -29.07242,  -0.01214,  94.33163, -15.43093, 104.26037,  48.83246,  26.45239,  13.80302,  48.74811,  26.82877,  13.40253,   0.00000,   0.00000,   0.00000,  29.48983,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.09440,  11.05452,  25.36935,  -2.09534, -87.05885,  23.74105, -93.56644,  49.27210,  24.06942,  11.86222,  50.06169,  23.99340,  15.38352,   0.00000,   0.00000,   0.00000,   1.00000,   0.09440,  10.73837, -29.07253,  -0.01237,  94.32887, -15.43061, 104.26742,  48.83295,  26.45250,  13.80279,  48.74861,  26.82887,  13.40276,   0.00000,   0.00000,   0.00000,  29.49396,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.09853,  11.05425,  25.36947,  -2.09503, -87.05566,  23.74069, -93.56155,  49.27237,  24.06953,  11.86252,  50.06195,  23.99352,  15.38322,   0.00000,   0.00000,   0.00000,   1.00000,   0.09853,  10.73916, -29.07174,  -0.01289,  94.33151, -15.43142, 104.27385,  48.83216,  26.45171,  13.80227,  48.74782,  26.82809,  13.40328,   0.00000,   0.00000,   0.00000,  29.49809,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.10278,  11.05390,  25.36972,  -2.09530, -87.05293,  23.73653, -93.55805,  49.27272,  24.06979,  11.86225,  50.06231,  23.99377,  15.38349,   0.00000,   0.00000,   0.00000,   1.00000,   0.10278,  10.73872, -29.07158,  -0.01387,  94.32967, -15.43229, 104.27769,  48.83260,  26.45155,  13.80129,  48.74825,  26.82792,  13.40426,   0.00000,   0.00000,   0.00000,  29.50233,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.10691,  11.05462,  25.36946,  -2.09509, -87.05373,  23.73617, -93.55523,  49.27200,  24.06952,  11.86246,  50.06159,  23.99351,  15.38328,   0.00000,   0.00000,   0.00000,   1.00000,   0.10691,  10.73892, -29.07149,  -0.01335,  94.33029, -15.43097, 104.28003,  48.83240,  26.45146,  13.80181,  48.74805,  26.82784,  13.40374,   0.00000,   0.00000,   0.00000,  29.50646,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.11101,  11.05453,  25.36960,  -2.09533, -87.05299,  23.73444, -93.55404,  49.27210,  24.06967,  11.86223,  50.06168,  23.99365,  15.38351,   0.00000,   0.00000,   0.00000,   1.00000,   0.11101,  10.73845, -29.07161,  -0.01379,  94.32732, -15.43051, 104.28275,  48.83287,  26.45158,  13.80137,  48.74852,  26.82795,  13.40418,   0.00000,   0.00000,   0.00000,  29.51056,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.11528,  11.05456,  25.36961,  -2.09545, -87.05253,  23.73278, -93.55405,  49.27207,  24.06967,  11.86211,  50.06165,  23.99366,  15.38363,   0.00000,   0.00000,   0.00000,   1.00000,   0.11528,  10.73952, -29.07100,  -0.01456,  94.32906, -15.43303, 104.28440,  48.83180,  26.45097,  13.80060,  48.74745,  26.82734,  13.40495,   0.00000,   0.00000,   0.00000,  29.51483,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.11940,  11.05470,  25.36982,  -2.09498, -87.05149,  23.73358, -93.55669,  49.27192,  24.06989,  11.86257,  50.06151,  23.99387,  15.38317,   0.00000,   0.00000,   0.00000,   1.00000,   0.11940,  10.73886, -29.07159,  -0.01414,  94.32547, -15.43255, 104.28224,  48.83246,  26.45156,  13.80102,  48.74811,  26.82793,  13.40453,   0.00000,   0.00000,   0.00000,  29.51895,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.12353,  11.05473,  25.36994,  -2.09542, -87.05039,  23.73121, -93.56015,  49.27189,  24.07000,  11.86214,  50.06147,  23.99398,  15.38360,   0.00000,   0.00000,   0.00000,   1.00000,   0.12353,  10.73852, -29.07177,  -0.01393,  94.32286, -15.43262, 104.28020,  48.83280,  26.45174,  13.80123,  48.74845,  26.82811,  13.40432,   0.00000,   0.00000,   0.00000,  29.52308,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.12778,  11.05421,  25.37003,  -2.09554, -87.04848,  23.73041, -93.56350,  49.27241,  24.07010,  11.86202,  50.06200,  23.99408,  15.38372,   0.00000,   0.00000,   0.00000,   1.00000,   0.12778,  10.73807, -29.07240,  -0.01387,  94.32015, -15.43454, 104.27733,  48.83325,  26.45237,  13.80129,  48.74890,  26.82875,  13.40426,   0.00000,   0.00000,   0.00000,  29.52733,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.13191,  11.05431,  25.37003,  -2.09592, -87.04841,  23.72799, -93.56397,  49.27231,  24.07010,  11.86163,  50.06190,  23.99408,  15.38411,   0.00000,   0.00000,   0.00000,   1.00000,   0.13191,  10.73845, -29.07225,  -0.01289,  94.32224, -15.43337, 104.27146,  48.83286,  26.45222,  13.80227,  48.74852,  26.82859,  13.40328,   0.00000,   0.00000,   0.00000,  29.53146,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.13601,  11.05407,  25.37020,  -2.09583, -87.04564,  23.72816, -93.56495,  49.27255,  24.07027,  11.86172,  50.06214,  23.99425,  15.38402,   0.00000,   0.00000,   0.00000,   1.00000,   0.13601,  10.73894, -29.07244,  -0.01193,  94.32340, -15.43162, 104.26842,  48.83238,  26.45241,  13.80323,  48.74803,  26.82879,  13.40232,   0.00000,   0.00000,   0.00000,  29.53556,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.14028,  11.05466,  25.36991,  -2.09538, -87.04625,  23.72906, -93.56223,  49.27197,  24.06997,  11.86217,  50.06155,  23.99396,  15.38357,   0.00000,   0.00000,   0.00000,   1.00000,   0.14028,  10.73876, -29.07276,  -0.01199,  94.32133, -15.43353, 104.26559,  48.83256,  26.45273,  13.80317,  48.74822,  26.82911,  13.40238,   0.00000,   0.00000,   0.00000,  29.53983,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.14440,  11.05412,  25.36996,  -2.09586, -87.04157,  23.72731, -93.55637,  49.27250,  24.07002,  11.86170,  50.06209,  23.99401,  15.38404,   0.00000,   0.00000,   0.00000,   1.00000,   0.14440,  10.73837, -29.07308,  -0.01286,  94.31836, -15.43766, 104.26006,  48.83295,  26.45306,  13.80230,  48.74860,  26.82943,  13.40325,   0.00000,   0.00000,   0.00000,  29.54395,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.14853,  11.05462,  25.36960,  -2.09537, -87.04079,  23.72780, -93.54854,  49.27200,  24.06967,  11.86218,  50.06158,  23.99365,  15.38356,   0.00000,   0.00000,   0.00000,   1.00000,   0.14853,  10.73896, -29.07296,  -0.01180,  94.31973, -15.43463, 104.25474,  48.83236,  26.45293,  13.80336,  48.74801,  26.82931,  13.40219,   0.00000,   0.00000,   0.00000,  29.54809,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.15278,  11.05491,  25.36942,  -2.09487, -87.03687,  23.72883, -93.54291,  49.27171,  24.06949,  11.86268,  50.06130,  23.99347,  15.38306,   0.00000,   0.00000,   0.00000,   1.00000,   0.15278,  10.73854, -29.07316,  -0.01159,  94.31580, -15.43435, 104.25182,  48.83278,  26.45313,  13.80357,  48.74843,  26.82950,  13.40198,   0.00000,   0.00000,   0.00000,  29.55233,   2.98288,   1.00000,  30.48400, 
