trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00009,   0.00000,   4.61112,   9.93502,  -0.67776,  18.25757,   9.80884,   4.32662,  18.18637,   9.71785,   5.90671,   0.00000,   0.00000,   0.00000,   1.00000,   0.00009,   0.00000,   3.86824, -11.86741,  -0.04529,  18.72631,   9.89638,   5.13005,  18.50373,  10.20563,   4.74651,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00086, 246.00000,   4.61315,   9.94630,  -0.66750,  18.25555,   9.82012,   4.33688,  18.18435,   9.72914,   5.89645,   0.00000,   0.00000,   0.00000,   1.00000,   0.00086, 246.00000,   3.86844, -11.86823,  -0.04686,  18.72611,   9.89719,   5.12848,  18.50352,  10.20645,   4.74808,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00136, 247.00000,   4.61313,   9.94641,  -0.66753,  18.25557,   9.82022,   4.33685,  18.18437,   9.72924,   5.89648,   0.00000,   0.00000,   0.00000,   1.00000,   0.00136, 247.00000,   3.86838, -11.86817,  -0.04672,  18.72618,   9.89714,   5.12862,  18.50359,  10.20639,   4.74794,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00548, 248.00000,   4.61304,   9.94653,  -0.66732,  18.25565,   9.82034,   4.33706,  18.18445,   9.72936,   5.89627,   0.00000,   0.00000,   0.00000,   1.00000,   0.00548, 248.00000,   3.86825, -11.86814,  -0.04681,  18.72630,   9.89711,   5.12854,  18.50372,  10.20636,   4.74802,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00974, 249.00000,   4.61310,   9.94664,  -0.66736,  18.25559,   9.82046,   4.33702,  18.18439,   9.72948,   5.89631,   0.00000,   0.00000,   0.00000,   1.00000,   0.00974, 249.00000,   3.86838, -11.86802,  -0.04674,  18.72617,   9.89698,   5.12861,  18.50359,  10.20624,   4.74795,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01387, 250.00000,   4.61309,   9.94676,  -0.66718,  18.25560,   9.82057,   4.33720,  18.18440,   9.72959,   5.89613,   0.00000,   0.00000,   0.00000,   1.00000,   0.01387, 250.00000,   3.86835, -11.86794,  -0.04682,  18.72620,   9.89691,   5.12852,  18.50362,  10.20616,   4.74804,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01800, 251.00000,   4.61308,   9.94684,  -0.66709,  18.25561,   9.82066,   4.33729,  18.18441,   9.72967,   5.89604,   0.00000,   0.00000,   0.00000,   1.00000,   0.01800, 251.00000,   3.86839, -11.86784,  -0.04670,  18.72616,   9.89680,   5.12865,  18.50357,  10.20606,   4.74791,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02226, 252.00000,   4.61312,   9.94687,  -0.66730,  18.25557,   9.82069,   4.33709,  18.18437,   9.72971,   5.89625,   0.00000,   0.00000,   0.00000,   1.00000,   0.02226, 252.00000,   3.86833, -11.86778,  -0.04657,  18.72623,   9.89674,   5.12877,  18.50364,  10.20600,   4.74779,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02640, 253.00000,   4.61323,   9.94687,  -0.66724,  18.25546,   9.82068,   4.33714,  18.18426,   9.72970,   5.89619,   0.00000,   0.00000,   0.00000,   1.00000,   0.02640, 253.00000,   3.86848, -11.86764,  -0.04656,  18.72608,   9.89660,   5.12878,  18.50349,  10.20586,   4.74778,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03049, 254.00000,   4.61325,   9.94686,  -0.66727,  18.25545,   9.82067,   4.33711,  18.18425,   9.72969,   5.89622,   0.00000,   0.00000,   0.00000,   1.00000,   0.03049, 254.00000,   3.86845, -11.86754,  -0.04634,  18.72611,   9.89651,   5.12900,  18.50352,  10.20576,   4.74756,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
