trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   6.00000,   2.25498,   0.01603, 2446.00000,  -0.22340,   3.68483, -10.99573,  22.70611,  22.54220,   0.00000,   0.00000,   0.00578,  -0.00017,  -0.02182, 508.40709, 717.99275,  10.02182, 516.66556, 491.91347,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.03263, 2454.00000,  -0.22337,   3.68488, -10.99579,  22.70610,  22.54218,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.05928, 2460.00000,  -0.22368,   3.68489, -10.99594,  22.70609,  22.54232,   0.00000,   0.00000,   0.00865,  -0.00042,  -0.03490, 508.31509, 717.99917,  10.03490, 516.70962, 491.89184,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.07653, 2464.00000,  -0.22403,   3.68500, -10.99597,  22.70593,  22.54233,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.07808, 2465.00000,  -0.22404,   3.68499, -10.99597,  22.70594,  22.54234,   0.00000,   0.00000,   0.00934,  -0.00085,  -0.04655, 508.29304, 718.01010,  10.04655, 516.72873, 491.89562,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.08197, 2466.00000,  -0.22409,   3.68503, -10.99597,  22.70590,  22.54232,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.08624, 2467.00000,  -0.22404,   3.68493, -10.99601,  22.70601,  22.54241,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09032, 2468.00000,  -0.22408,   3.68490, -10.99604,  22.70604,  22.54246,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09459, 2469.00000,  -0.22392,   3.68480, -10.99613,  22.70621,  22.54254,   0.00000,   0.00000,   0.00864,  -0.00137,  -0.05616, 508.31558, 718.02346,  10.05616, 516.73151, 491.91515,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09875, 2470.00000,  -0.22390,   3.68482, -10.99616,  22.70620,  22.54253,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
