trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00012,   0.00000,   4.45576,   9.50469,  -0.80790,  18.93159,   9.34884,   4.44293,  18.74046,   9.30688,   6.06368,   0.00000,   0.00000,   0.00000,   1.00000,   0.00012,   0.00000,   3.86115, -10.70778,  -0.09050,  19.22758,   9.19211,   4.92761,  19.36893,   9.24276,   5.27080,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.00101, 244.00000,   4.45784,   9.53982,  -0.80409,  18.92952,   9.38396,   4.44675,  18.73838,   9.34200,   6.05987,   0.00000,   0.00000,   0.00000,   1.00000,   0.00101, 244.00000,   3.83230, -10.73182,  -0.09779,  19.25643,   9.21615,   4.92032,  19.39779,   9.26680,   5.27809,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.00268, 245.00000,   4.45789,   9.54111,  -0.80380,  18.92946,   9.38526,   4.44703,  18.73833,   9.34330,   6.05958,   0.00000,   0.00000,   0.00000,   1.00000,   0.00268, 245.00000,   3.83224, -10.73172,  -0.09796,  19.25649,   9.21605,   4.92015,  19.39784,   9.26670,   5.27826,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.00680, 246.00000,   4.45792,   9.54238,  -0.80364,  18.92943,   9.38653,   4.44719,  18.73829,   9.34457,   6.05942,   0.00000,   0.00000,   0.00000,   1.00000,   0.00680, 246.00000,   3.83207, -10.73169,  -0.09858,  19.25666,   9.21601,   4.91952,  19.39801,   9.26666,   5.27888,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.01105, 247.00000,   4.45803,   9.54358,  -0.80358,  18.92932,   9.38773,   4.44725,  18.73818,   9.34577,   6.05936,   0.00000,   0.00000,   0.00000,   1.00000,   0.01105, 247.00000,   3.83216, -10.73156,  -0.09885,  19.25657,   9.21588,   4.91926,  19.39793,   9.26653,   5.27915,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.01515, 248.00000,   4.45819,   9.54485,  -0.80322,  18.92916,   9.38899,   4.44761,  18.73803,   9.34703,   6.05900,   0.00000,   0.00000,   0.00000,   1.00000,   0.01515, 248.00000,   3.83225, -10.73144,  -0.09937,  19.25648,   9.21577,   4.91873,  19.39783,   9.26642,   5.27967,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.01930, 249.00000,   4.45837,   9.54606,  -0.80307,  18.92898,   9.39021,   4.44776,  18.73784,   9.34825,   6.05885,   0.00000,   0.00000,   0.00000,   1.00000,   0.01930, 249.00000,   3.83216, -10.73141,  -0.09998,  19.25657,   9.21574,   4.91813,  19.39793,   9.26639,   5.28028,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.02354, 250.00000,   4.45837,   9.54737,  -0.80281,  18.92898,   9.39152,   4.44802,  18.73784,   9.34956,   6.05859,   0.00000,   0.00000,   0.00000,   1.00000,   0.02354, 250.00000,   3.83207, -10.73137,  -0.10012,  19.25666,   9.21570,   4.91799,  19.39801,   9.26635,   5.28042,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.02764, 251.00000,   4.45845,   9.54864,  -0.80280,  18.92890,   9.39278,   4.44803,  18.73777,   9.35083,   6.05858,   0.00000,   0.00000,   0.00000,   1.00000,   0.02764, 251.00000,   3.83185, -10.73138,  -0.10069,  19.25688,   9.21570,   4.91742,  19.39823,   9.26635,   5.28099,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
  1.00000,   0.03179, 252.00000,   4.45858,   9.54992,  -0.80268,  18.92878,   9.39406,   4.44815,  18.73764,   9.35211,   6.05846,   0.00000,   0.00000,   0.00000,   1.00000,   0.03179, 252.00000,   3.83180, -10.73132,  -0.10136,  19.25693,   9.21564,   4.91674,  19.39829,   9.26629,   5.28166,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000, 
