vidName, trial , direction , samp , waittime , trialTime , frameShow , xB , yB , zB , XdistB_t1, YdistB_t1, ZdistB_t1, XdistB_t2 , YdistB_t2, ZdistB_t2, hitB_t1 , hitB_t2, yaw, pitch, roll, expTime, launchind_a, hitind_a, aHit, accuracy
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.44163 ,  1.00000 ,  1.04083 , 10.53231 ,-27.66591 ,-58.70828 , 25.01354 , 29.77150 ,-58.14682 , -2.46129 , 29.35964 ,  0.00000 ,  0.00000 , 97.71937 ,-31.53861 , 95.39903 , 34.94734 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.44187 ,  1.00000 ,  1.04039 , 10.53181 ,-27.66626 ,-58.70872 , 25.01304 , 29.77185 ,-58.14726 , -2.46179 , 29.35999 ,  0.00000 ,  0.00000 , 97.72053 ,-31.53698 , 95.39614 , 34.94758 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.44243 ,  1.00000 ,  1.04114 , 10.53202 ,-27.66635 ,-58.70797 , 25.01325 , 29.77194 ,-58.14651 , -2.46158 , 29.36008 ,  0.00000 ,  0.00000 , 97.72495 ,-31.53518 , 95.38543 , 34.94813 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.44654 ,  1.00000 ,  1.04129 , 10.53198 ,-27.66660 ,-58.70782 , 25.01321 , 29.77219 ,-58.14636 , -2.46162 , 29.36033 ,  0.00000 ,  0.00000 , 97.72617 ,-31.53599 , 95.37751 , 34.95225 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.45063 ,  1.00000 ,  1.04106 , 10.53113 ,-27.66699 ,-58.70806 , 25.01235 , 29.77258 ,-58.14660 , -2.46248 , 29.36072 ,  0.00000 ,  0.00000 , 97.72718 ,-31.53811 , 95.37636 , 34.95633 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.46683 ,  1.00000 ,  1.04132 , 10.53066 ,-27.66694 ,-58.70780 , 25.01189 , 29.77253 ,-58.14634 , -2.46294 , 29.36067 ,  0.00000 ,  0.00000 , 97.74116 ,-31.54161 , 95.39247 , 34.97254 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.46743 ,  1.00000 ,  1.04094 , 10.53175 ,-27.66613 ,-58.70818 , 25.01298 , 29.77172 ,-58.14671 , -2.46185 , 29.35986 ,  0.00000 ,  0.00000 , 97.74860 ,-31.54293 , 95.39093 , 34.97314 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.47156 ,  1.00000 ,  1.04046 , 10.53110 ,-27.66610 ,-58.70866 , 25.01233 , 29.77169 ,-58.14719 , -2.46250 , 29.35983 ,  0.00000 ,  0.00000 , 97.75021 ,-31.54512 , 95.38511 , 34.97727 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.47569 ,  1.00000 ,  1.03934 , 10.53149 ,-27.66558 ,-58.70978 , 25.01272 , 29.77117 ,-58.14832 , -2.46211 , 29.35931 ,  0.00000 ,  0.00000 , 97.75278 ,-31.54689 , 95.37592 , 34.98139 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.47993 ,  1.00000 ,  1.03860 , 10.53149 ,-27.66526 ,-58.71052 , 25.01272 , 29.77085 ,-58.14906 , -2.46211 , 29.35899 ,  0.00000 ,  0.00000 , 97.75365 ,-31.54715 , 95.36466 , 34.98564 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.48404 ,  1.00000 ,  1.03884 , 10.53159 ,-27.66480 ,-58.71027 , 25.01282 , 29.77039 ,-58.14881 , -2.46201 , 29.35853 ,  0.00000 ,  0.00000 , 97.75803 ,-31.54519 , 95.34926 , 34.98975 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.48816 ,  1.00000 ,  1.03829 , 10.53059 ,-27.66511 ,-58.71082 , 25.01182 , 29.77070 ,-58.14936 , -2.46301 , 29.35884 ,  0.00000 ,  0.00000 , 97.75757 ,-31.54427 , 95.33659 , 34.99386 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.49243 ,  1.00000 ,  1.03787 , 10.53059 ,-27.66499 ,-58.71125 , 25.01182 , 29.77058 ,-58.14978 , -2.46301 , 29.35872 ,  0.00000 ,  0.00000 , 97.76048 ,-31.54414 , 95.33183 , 34.99814 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.49656 ,  1.00000 ,  1.03748 , 10.53088 ,-27.66475 ,-58.71163 , 25.01211 , 29.77033 ,-58.15017 , -2.46272 , 29.35848 ,  0.00000 ,  0.00000 , 97.76448 ,-31.54429 , 95.32975 , 35.00227 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.50069 ,  1.00000 ,  1.03618 , 10.53058 ,-27.66494 ,-58.71293 , 25.01180 , 29.77053 ,-58.15147 , -2.46303 , 29.35867 ,  0.00000 ,  0.00000 , 97.76525 ,-31.54729 , 95.32822 , 35.00640 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.50493 ,  1.00000 ,  1.03553 , 10.53136 ,-27.66488 ,-58.71358 , 25.01259 , 29.77047 ,-58.15212 , -2.46224 , 29.35861 ,  0.00000 ,  0.00000 , 97.76739 ,-31.54703 , 95.32394 , 35.01064 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.50900 ,  1.00000 ,  1.03511 , 10.53094 ,-27.66524 ,-58.71401 , 25.01217 , 29.77083 ,-58.15255 , -2.46266 , 29.35897 ,  0.00000 ,  0.00000 , 97.76770 ,-31.54811 , 95.31572 , 35.01471 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.51314 ,  1.00000 ,  1.03442 , 10.53155 ,-27.66519 ,-58.71469 , 25.01278 , 29.77078 ,-58.15323 , -2.46205 , 29.35892 ,  0.00000 ,  0.00000 , 97.77050 ,-31.54871 , 95.30899 , 35.01884 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.51744 ,  1.00000 ,  1.03356 , 10.53087 ,-27.66548 ,-58.71556 , 25.01210 , 29.77107 ,-58.15410 , -2.46273 , 29.35922 ,  0.00000 ,  0.00000 , 97.76955 ,-31.54979 , 95.30173 , 35.02315 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.52155 ,  1.00000 ,  1.03371 , 10.53165 ,-27.66503 ,-58.71540 , 25.01288 , 29.77062 ,-58.15394 , -2.46195 , 29.35876 ,  0.00000 ,  0.00000 , 97.77505 ,-31.54885 , 95.29125 , 35.02726 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.52569 ,  1.00000 ,  1.03330 , 10.53186 ,-27.66508 ,-58.71581 , 25.01309 , 29.77067 ,-58.15435 , -2.46174 , 29.35882 ,  0.00000 ,  0.00000 , 97.77481 ,-31.54944 , 95.28362 , 35.03140 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
left_trial14_StartToStartPt_11_12_block3.mat ,121.00000 ,  1.00000 , 55.00000 ,  1.96465 ,  4.52993 ,  1.00000 ,  1.03324 , 10.53113 ,-27.66508 ,-58.71587 , 25.01236 , 29.77067 ,-58.15441 , -2.46247 , 29.35882 ,  0.00000 ,  0.00000 , 97.77163 ,-31.54847 , 95.27689 , 35.03564 , 29.00000 , 41.00000 ,  0.00000 ,  1.00000 ,
