trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   6.00000,   2.25498,   0.03160, 1996.00000,  -0.35673,   3.81964, -10.96233,  21.95286,  22.05054,   0.00000,   0.00000,   0.00578,  -0.00017,  -0.02182, 482.12374, 705.98448,  10.02182, 535.54534, 523.77452,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.04836, 2004.00000,  -0.35716,   3.81981, -10.96254,  21.95271,  22.05058,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.07493, 2010.00000,  -0.35754,   3.82007, -10.96255,  21.95240,  22.05045,   0.00000,   0.00000,   0.00865,  -0.00042,  -0.03490, 482.02602, 705.99121,  10.03490, 535.59055, 523.74839,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09227, 2015.00000,  -0.35769,   3.82027, -10.96273,  21.95227,  22.05039,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09634, 2016.00000,  -0.35775,   3.82028, -10.96279,  21.95228,  22.05043,   0.00000,   0.00000,   0.00934,  -0.00085,  -0.04655, 482.00260, 706.00268,  10.04655, 535.61042, 523.75143,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10051, 2017.00000,  -0.35781,   3.82025, -10.96290,  21.95234,  22.05052,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10460, 2018.00000,  -0.35771,   3.82035, -10.96302,  21.95232,  22.05045,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10888, 2019.00000,  -0.35790,   3.82023, -10.96319,  21.95246,  22.05068,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11298, 2020.00000,  -0.35797,   3.82030, -10.96332,  21.95244,  22.05069,   0.00000,   0.00000,   0.00864,  -0.00137,  -0.05616, 482.02654, 706.01670,  10.05616, 535.61370, 523.77260,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11713, 2021.00000,  -0.35839,   3.82026, -10.96354,  21.95248,  22.05093,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12132, 2022.00000,  -0.35841,   3.82022, -10.96369,  21.95258,  22.05103,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12548, 2023.00000,  -0.35849,   3.82020, -10.96378,  21.95261,  22.05110,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12964, 2024.00000,  -0.35844,   3.82020, -10.96393,  21.95270,  22.05116,   0.00000,   0.00000,   0.00599,  -0.00212,  -0.06127, 482.11684, 706.03664,  10.06127, 535.59592, 523.82141,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13388, 2025.00000,  -0.35850,   3.82027, -10.96399,  21.95265,  22.05114,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13797, 2026.00000,  -0.35855,   3.81993, -10.96421,  21.95302,  22.05154,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.14211, 2027.00000,  -0.35865,   3.81997, -10.96430,  21.95300,  22.05157,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.14638, 2028.00000,  -0.35868,   3.82003, -10.96436,  21.95298,  22.05156,   0.00000,   0.00000,   0.00354,  -0.00249,  -0.06335, 482.20011, 706.04663,  10.06335, 535.57183, 523.85852,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.15043, 2029.00000,  -0.35887,   3.82004, -10.96445,  21.95297,  22.05163,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.15475, 2030.00000,  -0.35903,   3.81989, -10.96454,  21.95310,  22.05183,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.15884, 2031.00000,  -0.35915,   3.81990, -10.96457,  21.95307,  22.05187,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.16300, 2032.00000,  -0.35908,   3.81977, -10.96460,  21.95323,  22.05198,   0.00000,   0.00000,   0.00210,  -0.00288,  -0.06285, 482.24906, 706.05709,  10.06285, 535.56188, 523.88467,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.16712, 2033.00000,  -0.35905,   3.81968, -10.96466,  21.95333,  22.05207,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.17131, 2034.00000,  -0.35915,   3.81955, -10.96471,  21.95344,  22.05223,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.17551, 2035.00000,  -0.35934,   3.81956, -10.96470,  21.95339,  22.05227,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.17959, 2036.00000,  -0.35922,   3.81966, -10.96468,  21.95333,  22.05215,   0.00000,   0.00000,   0.00255,  -0.00304,  -0.06095, 482.23398, 706.06149,  10.06095, 535.57194, 523.88380,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.18384, 2037.00000,  -0.35927,   3.81967, -10.96469,  21.95330,  22.05215,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.18800, 2038.00000,  -0.35909,   3.81964, -10.96473,  21.95339,  22.05215,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.19209, 2039.00000,  -0.35910,   3.81966, -10.96476,  21.95339,  22.05215,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.19637, 2040.00000,  -0.35920,   3.81962, -10.96483,  21.95343,  22.05224,   0.00000,   0.00000,   0.00437,  -0.00278,  -0.05798, 482.17200, 706.05442,  10.05798, 535.59020, 523.85652,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.20044, 2041.00000,  -0.35907,   3.81960, -10.96491,  21.95350,  22.05226,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.20469, 2042.00000,  -0.35921,   3.81958, -10.96498,  21.95352,  22.05234,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.20888, 2043.00000,  -0.35926,   3.81965, -10.96504,  21.95348,  22.05232,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.21305, 2044.00000,  -0.35921,   3.81956, -10.96517,  21.95363,  22.05244,   0.00000,   0.00000,   0.00702,  -0.00222,  -0.05404, 482.08172, 706.03939,  10.05404, 535.61247, 523.81234,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.21705, 2045.00000,  -0.35918,   3.81960, -10.96525,  21.95363,  22.05243,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.22134, 2046.00000,  -0.35921,   3.81972, -10.96535,  21.95357,  22.05238,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.22544, 2047.00000,  -0.35913,   3.81975, -10.96558,  21.95365,  22.05244,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.22959, 2048.00000,  -0.35921,   3.81991, -10.96579,  21.95359,  22.05241,   0.00000,   0.00000,   0.00953,  -0.00164,  -0.04978, 481.99593, 706.02392,  10.04978, 535.63256, 523.76924,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.23380, 2049.00000,  -0.35945,   3.82011, -10.96596,  21.95344,  22.05237,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.23793, 2050.00000,  -0.35934,   3.82017, -10.96621,  21.95351,  22.05239,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.24212, 2051.00000,  -0.35921,   3.82032, -10.96645,  21.95351,  22.05234,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.24638, 2052.00000,  -0.35934,   3.82034, -10.96674,  21.95360,  22.05249,   0.00000,   0.00000,   0.01083,  -0.00146,  -0.04476, 481.95170, 706.01905,  10.04476, 535.64576, 523.74995,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.25049, 2053.00000,  -0.35955,   3.82040, -10.96701,  21.95362,  22.05260,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.25462, 2054.00000,  -0.35960,   3.82061, -10.96725,  21.95353,  22.05254,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.25884, 2055.00000,  -0.35939,   3.82094, -10.96754,  21.95341,  22.05232,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.26294, 2056.00000,  -0.35952,   3.82130, -10.96785,  21.95320,  22.05218,   0.00000,   0.00000,   0.01104,  -0.00138,  -0.03926, 481.94480, 706.01688,  10.03926, 535.64653, 523.74562,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.26714, 2057.00000,  -0.35972,   3.82165, -10.96821,  21.95301,  22.05209,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.27133, 2058.00000,  -0.35963,   3.82221, -10.96859,  21.95270,  22.05174,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.27550, 2059.00000,  -0.35969,   3.82254, -10.96908,  21.95262,  22.05169,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.27960, 2060.00000,  -0.35953,   3.82342, -10.96942,  21.95203,  22.05104,   0.00000,   0.00000,   0.01067,  -0.00142,  -0.03379, 481.95738, 706.01801,  10.03379, 535.64254, 523.75086,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.28386, 2061.00000,  -0.35966,   3.82412, -10.96980,  21.95155,  22.05062,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.28798, 2062.00000,  -0.35969,   3.82490, -10.97014,  21.95101,  22.05010,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.29211, 2063.00000,  -0.35960,   3.82581, -10.97054,  21.95042,  22.04948,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
