trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00008,   0.00000,   4.48511,   9.13899,  -0.79386,  18.68684,   9.25167,   4.29968,  18.69848,   9.20285,   6.20804,   0.00000,   0.00000,   0.00000,   1.00000,   0.00008,   0.00000,   4.08354, -10.99143,  -0.28455,  18.99464,   9.43715,   4.88945,  18.82242,   9.61410,   5.14736,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00081, 247.00000,   4.47715,   9.10226,  -0.79218,  18.69480,   9.21494,   4.30137,  18.70643,   9.16612,   6.20636,   0.00000,   0.00000,   0.00000,   1.00000,   0.00081, 247.00000,   4.08635, -10.99522,  -0.28792,  18.99183,   9.44094,   4.88608,  18.81961,   9.61789,   5.15073,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00431, 248.00000,   4.47718,   9.10253,  -0.79219,  18.69477,   9.21521,   4.30135,  18.70640,   9.16639,   6.20637,   0.00000,   0.00000,   0.00000,   1.00000,   0.00431, 248.00000,   4.08623, -10.99518,  -0.28786,  18.99195,   9.44089,   4.88614,  18.81973,   9.61784,   5.15067,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00843, 249.00000,   4.47717,   9.10281,  -0.79217,  18.69478,   9.21549,   4.30138,  18.70641,   9.16667,   6.20635,   0.00000,   0.00000,   0.00000,   1.00000,   0.00843, 249.00000,   4.08620, -10.99510,  -0.28798,  18.99199,   9.44082,   4.88601,  18.81977,   9.61777,   5.15080,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01256, 250.00000,   4.47705,   9.10317,  -0.79207,  18.69490,   9.21585,   4.30148,  18.70653,   9.16702,   6.20625,   0.00000,   0.00000,   0.00000,   1.00000,   0.01256, 250.00000,   4.08631, -10.99505,  -0.28794,  18.99188,   9.44077,   4.88606,  18.81966,   9.61771,   5.15076,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01679, 251.00000,   4.47704,   9.10344,  -0.79214,  18.69491,   9.21612,   4.30141,  18.70655,   9.16730,   6.20632,   0.00000,   0.00000,   0.00000,   1.00000,   0.01679, 251.00000,   4.08634, -10.99505,  -0.28825,  18.99185,   9.44076,   4.88575,  18.81963,   9.61771,   5.15106,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02093, 252.00000,   4.47698,   9.10375,  -0.79213,  18.69497,   9.21643,   4.30141,  18.70660,   9.16761,   6.20631,   0.00000,   0.00000,   0.00000,   1.00000,   0.02093, 252.00000,   4.08634, -10.99509,  -0.28838,  18.99184,   9.44080,   4.88562,  18.81962,   9.61775,   5.15119,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02504, 253.00000,   4.47710,   9.10397,  -0.79217,  18.69485,   9.21665,   4.30138,  18.70649,   9.16782,   6.20635,   0.00000,   0.00000,   0.00000,   1.00000,   0.02504, 253.00000,   4.08642, -10.99511,  -0.28849,  18.99176,   9.44082,   4.88550,  18.81954,   9.61777,   5.15131,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02930, 254.00000,   4.47704,   9.10430,  -0.79223,  18.69492,   9.21698,   4.30131,  18.70655,   9.16816,   6.20641,   0.00000,   0.00000,   0.00000,   1.00000,   0.02930, 254.00000,   4.08637, -10.99519,  -0.28858,  18.99182,   9.44091,   4.88541,  18.81960,   9.61786,   5.15140,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03343, 255.00000,   4.47709,   9.10455,  -0.79211,  18.69487,   9.21723,   4.30143,  18.70650,   9.16840,   6.20629,   0.00000,   0.00000,   0.00000,   1.00000,   0.03343, 255.00000,   4.08651, -10.99526,  -0.28875,  18.99168,   9.44097,   4.88525,  18.81946,   9.61792,   5.15156,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03755, 256.00000,   4.47719,   9.10478,  -0.79222,  18.69476,   9.21746,   4.30133,  18.70639,   9.16863,   6.20640,   0.00000,   0.00000,   0.00000,   1.00000,   0.03755, 256.00000,   4.08653, -10.99537,  -0.28877,  18.99165,   9.44109,   4.88523,  18.81943,   9.61804,   5.15158,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.04180, 257.00000,   4.47735,   9.10500,  -0.79233,  18.69460,   9.21768,   4.30121,  18.70624,   9.16886,   6.20651,   0.00000,   0.00000,   0.00000,   1.00000,   0.04180, 257.00000,   4.08665, -10.99546,  -0.28905,  18.99153,   9.44118,   4.88495,  18.81931,   9.61813,   5.15186,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
