trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   6.00000,   2.25498,   0.01631, 1380.00000,  -0.02318,   3.75619, -10.68251,  21.96384,  21.90676,   0.00000,   0.00000,   0.00578,  -0.00017,  -0.02182, 482.12374, 705.98448,  10.02182, 535.54534, 523.77452,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.03307, 1387.00000,  -0.02435,   3.75710, -10.68368,  21.96326,  21.90673,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.05974, 1394.00000,  -0.02491,   3.75768, -10.68402,  21.96276,  21.90650,   0.00000,   0.00000,   0.00865,  -0.00042,  -0.03490, 482.02602, 705.99121,  10.03490, 535.59055, 523.74839,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.07709, 1398.00000,  -0.02517,   3.75780, -10.68412,  21.96264,  21.90649,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.08032, 1399.00000,  -0.02525,   3.75777, -10.68415,  21.96266,  21.90655,   0.00000,   0.00000,   0.00934,  -0.00085,  -0.04655, 482.00260, 706.00268,  10.04655, 535.61042, 523.75143,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.08443, 1400.00000,  -0.02531,   3.75783, -10.68416,  21.96259,  21.90651,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.08868, 1401.00000,  -0.02542,   3.75790, -10.68419,  21.96252,  21.90649,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09281, 1402.00000,  -0.02555,   3.75792, -10.68427,  21.96251,  21.90654,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09684, 1403.00000,  -0.02557,   3.75810, -10.68430,  21.96235,  21.90640,   0.00000,   0.00000,   0.00864,  -0.00137,  -0.05616, 482.02654, 706.01670,  10.05616, 535.61370, 523.77260,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10101, 1404.00000,  -0.02558,   3.75801, -10.68444,  21.96249,  21.90654,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10528, 1405.00000,  -0.02556,   3.75813, -10.68455,  21.96244,  21.90648,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10943, 1406.00000,  -0.02578,   3.75818, -10.68470,  21.96240,  21.90655,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11356, 1407.00000,  -0.02581,   3.75818, -10.68489,  21.96248,  21.90664,   0.00000,   0.00000,   0.00599,  -0.00212,  -0.06127, 482.11684, 706.03664,  10.06127, 535.59592, 523.82141,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11773, 1408.00000,  -0.02613,   3.75828, -10.68508,  21.96240,  21.90670,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12189, 1409.00000,  -0.02610,   3.75850, -10.68520,  21.96226,  21.90656,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12610, 1410.00000,  -0.02632,   3.75844, -10.68543,  21.96236,  21.90675,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13026, 1411.00000,  -0.02634,   3.75843, -10.68567,  21.96246,  21.90687,   0.00000,   0.00000,   0.00354,  -0.00249,  -0.06335, 482.20011, 706.04663,  10.06335, 535.57183, 523.85852,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13432, 1412.00000,  -0.02646,   3.75856, -10.68589,  21.96241,  21.90687,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13854, 1413.00000,  -0.02654,   3.75836, -10.68617,  21.96269,  21.90719,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.14279, 1414.00000,  -0.02696,   3.75839, -10.68642,  21.96267,  21.90736,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.14691, 1415.00000,  -0.02692,   3.75854, -10.68659,  21.96263,  21.90730,   0.00000,   0.00000,   0.00210,  -0.00288,  -0.06285, 482.24906, 706.05709,  10.06285, 535.56188, 523.88467,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.15104, 1416.00000,  -0.02688,   3.75862, -10.68680,  21.96265,  21.90731,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.15523, 1417.00000,  -0.02727,   3.75870, -10.68704,  21.96259,  21.90743,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.15937, 1418.00000,  -0.02745,   3.75873, -10.68726,  21.96261,  21.90754,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.16350, 1419.00000,  -0.02769,   3.75856, -10.68751,  21.96281,  21.90785,   0.00000,   0.00000,   0.00255,  -0.00304,  -0.06095, 482.23398, 706.06149,  10.06095, 535.57194, 523.88380,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.16781, 1420.00000,  -0.02780,   3.75871, -10.68765,  21.96271,  21.90780,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.17189, 1421.00000,  -0.02767,   3.75887, -10.68773,  21.96263,  21.90767,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.17603, 1422.00000,  -0.02785,   3.75884, -10.68789,  21.96269,  21.90781,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.18026, 1423.00000,  -0.02802,   3.75889, -10.68801,  21.96266,  21.90785,   0.00000,   0.00000,   0.00437,  -0.00278,  -0.05798, 482.17200, 706.05442,  10.05798, 535.59020, 523.85652,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.18437, 1424.00000,  -0.02815,   3.75900, -10.68814,  21.96259,  21.90784,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.18851, 1425.00000,  -0.02834,   3.75903, -10.68826,  21.96256,  21.90790,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.19280, 1426.00000,  -0.02885,   3.75888, -10.68840,  21.96264,  21.90821,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.19693, 1427.00000,  -0.02909,   3.75893, -10.68852,  21.96259,  21.90828,   0.00000,   0.00000,   0.00702,  -0.00222,  -0.05404, 482.08172, 706.03939,  10.05404, 535.61247, 523.81234,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.20101, 1428.00000,  -0.02947,   3.75863, -10.68876,  21.96286,  21.90873,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.20524, 1429.00000,  -0.02952,   3.75853, -10.68894,  21.96301,  21.90890,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.20933, 1430.00000,  -0.02980,   3.75860, -10.68905,  21.96294,  21.90895,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.21356, 1431.00000,  -0.02987,   3.75889, -10.68914,  21.96270,  21.90875,   0.00000,   0.00000,   0.00953,  -0.00164,  -0.04978, 481.99593, 706.02392,  10.04978, 535.63256, 523.76924,   0.00000,   0.00000, 
