vidName, trial , direction , samp , waittime , trialTime , frameShow , xB , yB , zB , XdistB_t1, YdistB_t1, ZdistB_t1, XdistB_t2 , YdistB_t2, ZdistB_t2, hitB_t1 , hitB_t2, yaw, pitch, roll, expTime, launchind_a, hitind_a, aHit, accuracy
left_trial12_StartToStartPt_5_6_block4.mat , 41.00000 ,  1.00000 , 33.00000 ,  1.65682 ,  4.29288 ,  1.00000 ,  0.66883 , 10.22641 ,-27.26669 ,-59.44698 , 24.08595 , 30.98267 ,-59.70092 , -3.53442 , 30.80908 ,  0.00000 ,  0.00000 , 91.69660 ,-14.05872 , 81.24406 , 23.42661 , 25.00000 , 37.00000 ,  0.00000 ,  1.00000 ,
left_trial12_StartToStartPt_5_6_block4.mat , 41.00000 ,  1.00000 , 33.00000 ,  1.65682 ,  4.29359 ,  1.00000 ,  0.67310 , 10.22419 ,-27.26395 ,-59.44270 , 24.08373 , 30.97992 ,-59.69665 , -3.53664 , 30.80634 ,  0.00000 ,  0.00000 , 91.85185 ,-14.08040 , 81.07397 , 23.42732 , 25.00000 , 37.00000 ,  0.00000 ,  1.00000 ,
left_trial12_StartToStartPt_5_6_block4.mat , 41.00000 ,  1.00000 , 33.00000 ,  1.65682 ,  4.29411 ,  1.00000 ,  0.67555 , 10.22346 ,-27.26245 ,-59.44026 , 24.08300 , 30.97843 ,-59.69420 , -3.53737 , 30.80484 ,  0.00000 ,  0.00000 , 91.92530 ,-14.07377 , 81.01913 , 23.42783 , 25.00000 , 37.00000 ,  0.00000 ,  1.00000 ,
left_trial12_StartToStartPt_5_6_block4.mat , 41.00000 ,  1.00000 , 33.00000 ,  1.65682 ,  4.29836 ,  1.00000 ,  0.67728 , 10.22286 ,-27.26086 ,-59.43852 , 24.08241 , 30.97684 ,-59.69246 , -3.53796 , 30.80325 ,  0.00000 ,  0.00000 , 91.99843 ,-14.06798 , 80.98679 , 23.43208 , 25.00000 , 37.00000 ,  0.00000 ,  1.00000 ,
left_trial12_StartToStartPt_5_6_block4.mat , 41.00000 ,  1.00000 , 33.00000 ,  1.65682 ,  4.31438 ,  1.00000 ,  0.67998 , 10.22128 ,-27.25558 ,-59.43583 , 24.08083 , 30.97155 ,-59.68977 , -3.53954 , 30.79797 ,  0.00000 ,  0.00000 , 92.15553 ,-14.05407 , 81.04801 , 23.44808 , 25.00000 , 37.00000 ,  0.00000 ,  1.00000 ,
left_trial12_StartToStartPt_5_6_block4.mat , 41.00000 ,  1.00000 , 33.00000 ,  1.65682 ,  4.31471 ,  1.00000 ,  0.68070 , 10.22206 ,-27.25283 ,-59.43510 , 24.08160 , 30.96881 ,-59.68905 , -3.53876 , 30.79522 ,  0.00000 ,  0.00000 , 92.19658 ,-14.04625 , 81.12363 , 23.44840 , 25.00000 , 37.00000 ,  0.00000 ,  1.00000 ,
left_trial12_StartToStartPt_5_6_block4.mat , 41.00000 ,  1.00000 , 33.00000 ,  1.65682 ,  4.31881 ,  1.00000 ,  0.68001 , 10.22135 ,-27.25060 ,-59.43579 , 24.08089 , 30.96657 ,-59.68974 , -3.53947 , 30.79299 ,  0.00000 ,  0.00000 , 92.21807 ,-14.03650 , 81.22523 , 23.45251 , 25.00000 , 37.00000 ,  0.00000 ,  1.00000 ,
left_trial12_StartToStartPt_5_6_block4.mat , 41.00000 ,  1.00000 , 33.00000 ,  1.65682 ,  4.32306 ,  1.00000 ,  0.68034 , 10.22119 ,-27.24790 ,-59.43547 , 24.08073 , 30.96387 ,-59.68941 , -3.53964 , 30.79028 ,  0.00000 ,  0.00000 , 92.23239 ,-14.01706 , 81.34304 , 23.45675 , 25.00000 , 37.00000 ,  0.00000 ,  1.00000 ,
left_trial12_StartToStartPt_5_6_block4.mat , 41.00000 ,  1.00000 , 33.00000 ,  1.65682 ,  4.32722 ,  1.00000 ,  0.67953 , 10.22117 ,-27.24516 ,-59.43628 , 24.08071 , 30.96113 ,-59.69022 , -3.53965 , 30.78754 ,  0.00000 ,  0.00000 , 92.24136 ,-13.99351 , 81.47581 , 23.46092 , 25.00000 , 37.00000 ,  0.00000 ,  1.00000 ,
left_trial12_StartToStartPt_5_6_block4.mat , 41.00000 ,  1.00000 , 33.00000 ,  1.65682 ,  4.33133 ,  1.00000 ,  0.67935 , 10.22158 ,-27.24236 ,-59.43646 , 24.08113 , 30.95833 ,-59.69040 , -3.53924 , 30.78475 ,  0.00000 ,  0.00000 , 92.24324 ,-13.95353 , 81.62345 , 23.46502 , 25.00000 , 37.00000 ,  0.00000 ,  1.00000 ,
